stock_id,stock_name,20171018,20171019,20171020,20171021,20171023,20171024,20171025,20171026,20171027,20171028,20171029,20171030,20171031,20171101,20171102,20171103,20171104,20171105,20171106,20171107,20171108,20171109,20171110,20171111,20171112,20171113,20171114,20171115,20171116,20171117,20171118,20171119,20171120,20171121,20171122,20171123,20171124,20171125
0001.hk,CK HUTCHISON HOLDINGS LIMITED,11810218,11808718,11808718,11564218,11564218,11563218,11556718,11538218,11537218,11590218,11590218,11590218,11628218,11609218,11697218,11700718,11678218,11678218,11678218,11630718,11625218,11652718,11642718,11715798,11715798,11715798,11790298,11861798,11922298,11920798,11746298,11746298,11746298,11716298,11664298,11541798,11550798,11513798
0002.hk,CLP HOLDINGS LIMITED,3173300,3173300,3172800,3169800,3169800,3168800,3168300,3169300,3162800,3162800,3162800,3162800,3152800,3152800,3157800,3157300,3157300,3157300,3157300,3160800,3158800,3158800,3158800,3158800,3158800,3158800,3152800,3152800,3171300,3171300,3160800,3160800,3160800,3161800,3161800,3167300,3150800,3135800
0003.hk,HONG KONG AND CHINA GAS COMPANY LIMITED,17195863,17245863,17242863,17239863,17239863,17442763,17415763,17425763,17401763,17416763,17416763,17416763,17317763,17334763,17197763,17200763,17204763,17204763,17204763,17213763,17213763,17215763,17183763,17183763,17183763,17183763,17161763,17162763,17205763,17167763,17183763,17183763,17183763,17193763,17191763,17180763,17062763,16998763
0004.hk,WHARF (HOLDINGS) LIMITED,2967000,2985000,2987000,2987000,2987000,2983000,2983000,2975000,2970000,2970000,2970000,2970000,2950000,2949000,2952000,2952000,2952000,2952000,2952000,2954000,3005000,3007000,3007000,3007000,3007000,3007000,3010000,3001000,3020000,3023000,2828000,2828000,2828000,3044000,2866000,2855000,2845000,2847000
0005.hk,HSBC HOLDINGS PLC,993517401,992860601,992707801,992179001,992179001,991156201,991108601,990810601,990540957,990579757,990579757,990579757,990567357,994623276,999058476,1006125660,1006838057,1006838057,1006838057,1008036457,1009223657,1010505657,1010555257,1010256057,1010256057,1010256057,1012099657,1012052057,1012503657,1012522857,1011606057,1011606057,1011606057,1011622857,1011350857,1011843104,1006356629,1006308937
0006.hk,POWER ASSETS HOLDINGS LIMITED,6829000,6830000,6829500,6827500,6827500,6826500,6826000,6827000,6940000,7095500,7095500,7095500,7206500,7207500,7212000,7203000,7202500,7202500,7202500,7205500,7205500,7376500,7609500,7764500,7764500,7764500,7759500,7750500,7770500,7789500,7908500,7908500,7908500,8008000,8008500,8013000,8060500,7866500
0008.hk,PCCW LIMITED,6604323,6602323,6614323,6720323,6720323,6650323,6556323,6596323,6570323,6565323,6565323,6565323,6577323,6521323,6472323,6471323,6496323,6496323,6496323,6475323,6495323,6454323,6514323,6509323,6509323,6509323,6517323,6414323,7643323,7414323,7358323,7358323,7358323,7390323,7285323,7266323,7288323,7322323
0010.hk,HANG LUNG GROUP LIMITED,641000,663000,688000,718000,718000,712000,784000,794000,807000,942000,942000,942000,975000,984000,1015000,1028000,1089000,1089000,1089000,1091000,1101000,1114000,1172000,1194000,1194000,1194000,1286000,1334000,1354000,1350000,1351000,1351000,1351000,1347000,1336000,1335000,1348000,1373000
0011.hk,HANG SENG BANK LTD,1820000,1822100,1822000,1800700,1800700,1799400,1799600,1835600,1862600,1864900,1864900,1864900,1860800,1860200,1861500,1781300,1723900,1723900,1723900,1645500,1633400,1639000,1640300,1581500,1581500,1581500,1576600,1581000,1607100,1623400,1629000,1629000,1629000,1633900,1636900,1640500,1636500,1621000
0012.hk,HENDERSON LAND DEVELOPMENT CO LTD,4367534,4405534,4408534,4537534,4537534,4564114,4567114,4568114,4571114,4570114,4570114,4570114,4563114,4564114,4570114,4576114,4608114,4608114,4608114,4610114,4605114,4606114,4608114,4612114,4612114,4612114,4612114,4612114,4650114,4636114,4598114,4598114,4598114,4599114,4637114,4650114,4655114,4633114
0014.hk,HYSAN DEVELOPMENT COMPANY LIMITED,787000,796000,796000,796000,796000,796000,796000,799000,796000,799000,799000,799000,799000,799000,801000,801000,800000,800000,800000,800000,800000,798000,799000,792000,792000,792000,792000,791000,780000,780000,780000,780000,780000,771000,780000,777000,787000,767000
0016.hk,SUN HUNG KAI PROPERTIES LTD,5110338,5114338,5119338,5117338,5117338,5117338,5116338,5100338,5100338,5100338,5100338,5100338,5092338,4778338,4783338,4584338,4582338,4582338,4582338,4600338,4601338,4426338,4064338,4054338,4054338,4054338,4058338,4045338,4045338,4059338,3695338,3695338,3695338,3696338,3696338,3536338,3539338,3517338
0017.hk,NEW WORLD DEVELOPMENT CO LTD,37112339,36165339,34573339,32606339,32606339,32492339,30688339,30464339,30466339,30470339,30470339,30470339,30424339,30308339,30226339,30217339,30367339,30367339,30367339,30372339,30903339,29079339,27270339,27256339,27256339,27256339,27279339,26818339,26421339,26456339,26467283,26467283,26467283,26432283,26448283,26451283,26403283,26358283
0019.hk,SWIRE PACIFIC LTD 'A',2033500,1899500,1801000,1668000,1668000,1547500,1400000,1259000,1271000,1280500,1280500,1280500,1267000,1253000,1252000,1249000,1247000,1247000,1247000,1245500,1246000,1244000,1244500,1245000,1245000,1245000,1241500,1238500,1242000,1244500,1234000,1234000,1234000,1393000,1391000,1473000,1471500,1470000
0020.hk,WHEELOCK AND COMPANY LIMITED,1015572,1018572,1018572,1019572,1019572,1018572,1021572,974572,974572,974572,974572,974572,975572,995572,995572,995572,998572,998572,998572,998572,1005572,1005572,1007572,1005572,1005572,1005572,1005572,1005572,988572,991572,991572,991572,991572,787572,790572,790572,791572,790572
0023.hk,BANK OF EAST ASIA LTD,3870678,3886278,3886878,3875278,3875278,3875478,3875078,3887078,3875278,3876278,3876278,3876278,3639678,3639678,3654478,3644878,3644878,3644878,3644878,3648278,3645278,3642478,3642878,3642878,3642878,3642878,3642878,3644478,3647278,3647078,3579278,3579278,3579278,3583278,3583278,3587878,3768478,3766278
0027.hk,GALAXY ENTERTAINMENT GROUP LIMITED,25422222,25635222,25639222,25262222,25262222,25346222,24903222,25141222,25316222,25423222,25423222,25423222,25418222,23266222,23280222,23322222,23768222,23768222,23768222,24001222,23986222,23625222,24224222,24184222,24184222,24184222,24153222,24051222,24625222,24591222,24920222,24920222,24920222,24963222,24942222,25044222,25306222,25387222
0035.hk,FAR EAST CONSORTIUM INTERNATIONAL LTD,1037154,1118154,1118154,1088154,1088154,1086154,1089154,1089154,1092154,1093154,1093154,1093154,1109154,1090154,1090154,1150154,1151154,1151154,1151154,1172154,1249154,1168154,1551154,1688154,1688154,1688154,1681154,1633154,1401154,1378154,1370154,1370154,1370154,1372154,1306154,1257154,1257154,1252154
0038.hk,FIRST TRACTOR COMPANY LIMITED,59326100,59398100,59440100,59522100,59522100,59628100,59520100,59846100,59700100,59810100,59810100,59810100,59596100,59420100,59632100,60032100,60074100,60074100,60074100,60410100,60382100,60694100,61036100,61206100,61206100,61206100,61544100,61734100,61796100,61892100,62404100,62404100,62404100,64192100,64958100,64400100,64710100,64634100
0041.hk,GREAT EAGLE HOLDINGS LIMITED,626049,632049,646049,651049,651049,650049,653049,704049,740049,750049,750049,750049,758049,764049,741049,747049,749049,749049,749049,760049,767049,767049,766049,793049,793049,793049,799049,805049,804049,806049,806049,806049,806049,806049,810049,809049,808049,815049
0042.hk,NORTHEAST ELECTRIC DEVELOPMENT COMPANY LIMITED,18186000,18248000,18340000,18444000,18444000,18636000,18668000,18854000,18864000,18954000,18954000,18954000,18994000,19062000,19204000,19536000,19496000,19496000,19496000,19532000,19612000,19642000,19644000,19680000,19680000,19680000,19684000,19684000,19734000,19884000,19842000,19842000,19842000,20010000,20016000,19964000,20340000,20378000
0043.hk,C,2180000,2970000,2198000,2110000,2110000,2120000,2956000,3914000,3948000,4050000,4050000,4050000,3678000,3750000,2902000,2924000,2990000,2990000,2990000,2970000,2986000,3112000,2898000,3074000,3074000,3074000,3074000,3076000,3068000,3284000,4122000,4122000,4122000,4026000,4774000,5948000,5636000,5624000
0054.hk,HOPEWELL HOLDINGS LIMITED,44500,44500,44500,44500,44500,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000
0066.hk,MTR CORPORATION LIMITED,3375966,3378966,3380466,3380466,3380466,3380466,3349966,3276466,3274966,3276966,3276966,3276966,3260966,3260466,3269966,3269466,3263466,3263466,3263466,3266466,3150966,3153966,3153966,3153966,3153966,3153966,3472966,3472966,3474966,3476966,3479466,3479466,3479466,3481959,3481459,3448959,3433459,3425959
0069.hk,SHANGRI-LA ASIA LIMITED,33598000,33598000,33598000,33450000,33450000,33454000,33454000,33244000,33242000,33240000,33240000,33240000,33236000,33236000,32122000,32018000,31940000,31940000,31940000,31920000,31866000,31864000,31720000,31700000,31700000,31700000,31002000,30876000,28392000,28174000,26456000,26456000,26456000,25412000,24976000,24650000,24348000,23522000
0081.hk,CHINA OVERSEAS GRAND OCEANS GROUP LIMITED,23357693,23474693,23521693,23588693,23588693,23820693,23815693,23851693,24027693,23859693,23859693,23859693,24085693,24056693,24538693,25400693,25573693,25573693,25573693,25756693,26112693,26074693,26150693,25221693,25221693,25221693,24104693,24082693,23822693,24106693,24183693,24183693,24183693,24203693,24246693,24274693,24494693,24445693
0083.hk,SINO LAND CO,6998202,7030202,7026202,7024202,7024202,7002202,6998202,6990202,6978202,6896202,6896202,6896202,6758202,6616202,6630202,6590202,6588202,6588202,6588202,6592202,6590202,6488202,6374202,6372202,6372202,6372202,6368202,6368202,6344202,6404030,6338030,6338030,6338030,6342030,6342030,6394030,6370030,6362030
0086.hk,SUN HUNG KAI & CO,3244000,3234000,3234000,3234000,3234000,3234000,3234000,3233000,3233000,3233000,3233000,3233000,3233000,3233000,3233000,3233000,3153000,3153000,3153000,3151000,3151000,3151000,3151000,3151000,3151000,3151000,3151000,3138000,3138000,3138000,3088000,3088000,3088000,3074000,3074000,3074000,3074000,3074000
0095.hk,LVGEM (CHINA) REAL ESTATE INVESTMENT COMPANY LIMITED,16920000,16988000,17152000,17364000,17364000,17320000,17372000,17316000,17348000,17184000,17184000,17184000,17104000,16828000,16848000,16756000,16724000,16724000,16724000,16716000,17028000,17144000,16724000,16728000,16728000,16728000,16928000,17284000,17640000,17508000,17524000,17524000,17524000,17524000,17456000,17432000,17420000,17380000
0101.hk,HANG LUNG PROPERTIES LIMITED,5103000,5120000,5119000,5118000,5118000,5118000,5105000,5096000,5099000,5115000,5115000,5115000,5115000,5082000,5100000,5106000,5099000,5099000,5099000,5068000,5075000,5079000,5084000,5092000,5092000,5092000,5095000,5138000,4991000,4997000,5082000,5082000,5082000,5080000,5078000,5021000,5010000,4994000
0107.hk,SICHUAN EXPRESSWAY COMPANY LIMITED,212770000,213992000,213956000,213876000,213876000,214094000,213636000,213560000,213392000,213300000,213300000,213300000,213244000,213330000,213402000,213388000,213508000,213508000,213508000,213756000,214896000,214768000,214990000,215298000,215298000,215298000,215738000,215868000,216518000,217010000,217780000,217780000,217780000,218674000,219384000,219150000,219720000,220038000
0109.hk,GOOD RESOURCES HOLDINGS LIMITED,60820000,60810000,60810000,60810000,60810000,60810000,60810000,60810000,60600000,60600000,60600000,60600000,60600000,60600000,60600000,60600000,60600000,60600000,60600000,60600000,60600000,60600000,60460000,60450000,60450000,60450000,60450000,60450000,60350000,60330000,60330000,60330000,60330000,60330000,60330000,60330000,60310000,60310000
0116.hk,CHOW SANG SANG HOLDINGS INTERNATIONAL LIMITED,111000,111000,112000,111000,111000,113000,135000,152000,152000,169000,169000,169000,177000,177000,177000,172000,119000,119000,119000,119000,119000,118000,118000,120000,120000,120000,124000,126000,126000,126000,126000,126000,126000,126000,126000,121000,121000,233000
0119.hk,POLY PROPERTY GROUP CO,353870000,354792000,354980000,354381000,354381000,355036000,354855000,356196000,356148000,357133000,357133000,357133000,357489000,357919000,358133000,358816000,358135000,358135000,358135000,359089000,360087000,357133000,356665000,357441000,357441000,357441000,352180000,353231000,354530000,354930000,356101000,356101000,356101000,354784000,353729000,351214000,355126000,356336000
