stock_id ;stock_name; holding_num; holding_perc 
                                    1;                                CK HUTCHISON HOLDINGS LIMITED;                                11,563,218;                                0.29%
                                    2;                                CLP HOLDINGS LIMITED;                                3,168,800;                                0.11%
                                    3;                                HONG KONG AND CHINA GAS COMPANY LIMITED, THE;                                17,442,763;                                0.12%
                                    4;                                WHARF (HOLDINGS) LIMITED, THE;                                2,983,000;                                0.09%
                                    5;                                HSBC HOLDINGS PLC;                                991,156,201;                                4.85%
                                    6;                                POWER ASSETS HOLDINGS LIMITED;                                6,826,500;                                0.31%
                                    8;                                PCCW LIMITED;                                6,650,323;                                0.07%
                                   10;                                HANG LUNG GROUP LIMITED;                                712,000;                                0.04%
                                   11;                                HANG SENG BANK LTD;                                1,799,400;                                0.09%
                                   12;                                HENDERSON LAND DEVELOPMENT CO LTD;                                4,564,114;                                0.11%
                                   14;                                HYSAN DEVELOPMENT COMPANY LIMITED;                                796,000;                                0.07%
                                   16;                                SUN HUNG KAI PROPERTIES LTD;                                5,117,338;                                0.16%
                                   17;                                NEW WORLD DEVELOPMENT CO LTD;                                32,492,339;                                0.32%
                                   19;                                SWIRE PACIFIC LTD 'A';                                1,547,500;                                0.16%
                                   20;                                WHEELOCK AND COMPANY LIMITED;                                1,018,572;                                0.04%
                                   23;                                BANK OF EAST ASIA LTD;                                3,875,478;                                0.13%
                                   27;                                GALAXY ENTERTAINMENT GROUP LIMITED;                                25,346,222;                                0.58%
                                   35;                                FAR EAST CONSORTIUM INTERNATIONAL LTD;                                1,086,154;                                0.04%
                                   38;                                FIRST TRACTOR COMPANY LIMITED;                                59,628,100;                                15.21%
                                   41;                                GREAT EAGLE HOLDINGS LIMITED;                                650,049;                                0.08%
                                   42;                                NORTHEAST ELECTRIC DEVELOPMENT COMPANY LIMITED;                                18,636,000;                                7.22%
                                   43;                                C.P. POKPHAND CO LTD;                                2,120,000;                                0.00%
                                   54;                                HOPEWELL HOLDINGS LIMITED;                                44,000;                                0.00%
                                   66;                                MTR CORPORATION LIMITED;                                3,380,466;                                0.05%
                                   69;                                SHANGRI-LA ASIA LIMITED;                                33,454,000;                                0.92%
                                   81;                                CHINA OVERSEAS GRAND OCEANS GROUP LIMITED;                                23,820,693;                                1.04%
                                   83;                                SINO LAND CO.LTD.;                                7,002,202;                                0.10%
                                   86;                                SUN HUNG KAI & CO.LTD;                                3,234,000;                                0.14%
                                   95;                                LVGEM (CHINA) REAL ESTATE INVESTMENT COMPANY LIMITED;                                17,320,000;                                0.36%
                                  101;                                HANG LUNG PROPERTIES LIMITED;                                5,118,000;                                0.11%
                                  107;                                SICHUAN EXPRESSWAY COMPANY LIMITED;                                214,094,000;                                23.91%
                                  109;                                GOOD RESOURCES HOLDINGS LIMITED;                                60,810,000;                                0.85%
                                  116;                                CHOW SANG SANG HOLDINGS INTERNATIONAL LIMITED;                                113,000;                                0.01%
                                  119;                                POLY PROPERTY GROUP CO., LIMITED;                                355,036,000;                                9.68%
                                  123;                                YUEXIU PROPERTY COMPANY LIMITED;                                383,708,000;                                3.08%
                                  135;                                KUNLUN ENERGY COMPANY LIMITED;                                36,982,000;                                0.45%
                                  136;                                HENGTEN NETWORKS GROUP LIMITED;                                3,920,452,000;                                5.24%
                                  142;                                FIRST PACIFIC CO. LTD.;                                1,112,000;                                0.02%
                                  144;                                CHINA MERCHANTS PORT HOLDINGS COMPANY LIMITED;                                9,094,797;                                0.27%
                                  148;                                KINGBOARD CHEMICAL HOLDINGS LIMITED;                                14,258,051;                                1.33%
                                  151;                                WANT WANT CHINA HOLDINGS LIMITED;                                40,891,446;                                0.32%
                                  152;                                SHENZHEN INTERNATIONAL HOLDINGS LIMITED;                                37,447,724;                                1.84%
                                  163;                                EMPEROR INTERNATIONAL HOLDINGS LIMITED;                                3,722,000;                                0.10%
                                  165;                                CHINA EVERBRIGHT LIMITED;                                99,796,068;                                5.91%
                                  168;                                TSINGTAO BREWERY COMPANY LIMITED;                                56,534,100;                                8.62%
                                  173;                                K. WAH INTERNATIONAL HOLDINGS LIMITED;                                43,330,527;                                1.42%
                                  175;                                GEELY AUTOMOBILE HOLDINGS LIMITED;                                803,877,967;                                8.95%
                                  177;                                JIANGSU EXPRESSWAY COMPANY LIMITED;                                7,018,000;                                0.56%
                                  178;                                SA SA INTERNATIONAL HOLDINGS LIMITED;                                14,699,748;                                0.47%
                                  179;                                JOHNSON ELECTRIC HOLDINGS LIMITED;                                435,000;                                0.04%
                                  187;                                BEIJING JINGCHENG MACHINERY ELECTRIC COMPANY LIMITED;                                20,874,000;                                20.87%
                                  198;                                SMI HOLDINGS GROUP LIMITED;                                101,066,400;                                3.71%
                                  200;                                MELCO INTERNATIONAL DEVELOPMENT LIMITED;                                23,017,000;                                1.50%
                                  207;                                JOY CITY PROPERTY LIMITED;                                24,298,000;                                0.17%
                                  215;                                HUTCHISON TELECOMMUNICATIONS HONG KONG HOLDINGS LIMITED;                                73,790,000;                                1.52%
                                  220;                                UNI-PRESIDENT CHINA HOLDINGS LTD.;                                57,471,489;                                1.32%
                                  241;                                ALIBABA HEALTH INFORMATION TECHNOLOGY LIMITED;                                249,474,000;                                2.65%
                                  242;                                SHUN TAK HOLDINGS LIMITED;                                241,594,000;                                7.93%
                                  245;                                CHINA MINSHENG FINANCIAL HOLDING CORPORATION LIMITED;                                48,090,000;                                0.15%
                                  256;                                CITYCHAMP WATCH & JEWELLERY GROUP LIMITED;                                238,230,000;                                5.47%
                                  257;                                CHINA EVERBRIGHT INTERNATIONAL LIMITED;                                149,824,827;                                3.33%
                                  267;                                CITIC LIMITED;                                26,609,533;                                0.08%
                                  268;                                KINGDEE INTERNATIONAL SOFTWARE GROUP COMPANY LIMITED;                                202,715,205;                                6.95%
                                  270;                                GUANGDONG INVESTMENT LIMITED;                                13,311,077;                                0.20%
                                  272;                                SHUI ON LAND LIMITED;                                561,729,596;                                6.96%
                                  279;                                FREEMAN FINTECH CORPORATION LIMITED;                                113,860,000;                                0.72%
