stock_id ;stock_name; holding_num; holding_perc 
                                    1;                                CK HUTCHISON HOLDINGS LIMITED;                                11,625,218;                                0.30%
                                    2;                                CLP HOLDINGS LIMITED;                                3,158,800;                                0.11%
                                    3;                                HONG KONG AND CHINA GAS COMPANY LIMITED, THE;                                17,213,763;                                0.11%
                                    4;                                WHARF (HOLDINGS) LIMITED, THE;                                3,005,000;                                0.09%
                                    5;                                HSBC HOLDINGS PLC;                                1,009,223,657;                                4.96%
                                    6;                                POWER ASSETS HOLDINGS LIMITED;                                7,205,500;                                0.33%
                                    8;                                PCCW LIMITED;                                6,495,323;                                0.07%
                                   10;                                HANG LUNG GROUP LIMITED;                                1,101,000;                                0.07%
                                   11;                                HANG SENG BANK LTD;                                1,633,400;                                0.08%
                                   12;                                HENDERSON LAND DEVELOPMENT CO LTD;                                4,605,114;                                0.11%
                                   14;                                HYSAN DEVELOPMENT COMPANY LIMITED;                                800,000;                                0.07%
                                   16;                                SUN HUNG KAI PROPERTIES LTD;                                4,601,338;                                0.15%
                                   17;                                NEW WORLD DEVELOPMENT CO LTD;                                30,903,339;                                0.30%
                                   19;                                SWIRE PACIFIC LTD 'A';                                1,246,000;                                0.13%
                                   20;                                WHEELOCK AND COMPANY LIMITED;                                1,005,572;                                0.04%
                                   23;                                BANK OF EAST ASIA LTD;                                3,645,278;                                0.13%
                                   27;                                GALAXY ENTERTAINMENT GROUP LIMITED;                                23,986,222;                                0.55%
                                   35;                                FAR EAST CONSORTIUM INTERNATIONAL LTD;                                1,249,154;                                0.05%
                                   38;                                FIRST TRACTOR COMPANY LIMITED;                                60,382,100;                                15.39%
                                   41;                                GREAT EAGLE HOLDINGS LIMITED;                                767,049;                                0.10%
                                   42;                                NORTHEAST ELECTRIC DEVELOPMENT COMPANY LIMITED;                                19,612,000;                                7.60%
                                   43;                                C.P. POKPHAND CO LTD;                                2,986,000;                                0.00%
                                   54;                                HOPEWELL HOLDINGS LIMITED;                                43,000;                                0.00%
                                   66;                                MTR CORPORATION LIMITED;                                3,150,966;                                0.04%
                                   69;                                SHANGRI-LA ASIA LIMITED;                                31,866,000;                                0.88%
                                   81;                                CHINA OVERSEAS GRAND OCEANS GROUP LIMITED;                                26,112,693;                                1.14%
                                   83;                                SINO LAND CO.LTD.;                                6,590,202;                                0.10%
                                   86;                                SUN HUNG KAI & CO.LTD;                                3,151,000;                                0.14%
                                   95;                                LVGEM (CHINA) REAL ESTATE INVESTMENT COMPANY LIMITED;                                17,028,000;                                0.36%
                                  101;                                HANG LUNG PROPERTIES LIMITED;                                5,075,000;                                0.11%
                                  107;                                SICHUAN EXPRESSWAY COMPANY LIMITED;                                214,896,000;                                24.00%
                                  109;                                GOOD RESOURCES HOLDINGS LIMITED;                                60,600,000;                                0.84%
                                  116;                                CHOW SANG SANG HOLDINGS INTERNATIONAL LIMITED;                                119,000;                                0.01%
                                  119;                                POLY PROPERTY GROUP CO., LIMITED;                                360,087,000;                                9.82%
                                  123;                                YUEXIU PROPERTY COMPANY LIMITED;                                382,790,000;                                3.08%
                                  135;                                KUNLUN ENERGY COMPANY LIMITED;                                37,484,000;                                0.46%
                                  136;                                HENGTEN NETWORKS GROUP LIMITED;                                4,129,052,000;                                5.52%
                                  142;                                FIRST PACIFIC CO. LTD.;                                1,150,000;                                0.02%
                                  144;                                CHINA MERCHANTS PORT HOLDINGS COMPANY LIMITED;                                8,527,161;                                0.26%
                                  148;                                KINGBOARD CHEMICAL HOLDINGS LIMITED;                                14,421,551;                                1.34%
                                  151;                                WANT WANT CHINA HOLDINGS LIMITED;                                47,437,446;                                0.37%
                                  152;                                SHENZHEN INTERNATIONAL HOLDINGS LIMITED;                                38,438,724;                                1.88%
                                  163;                                EMPEROR INTERNATIONAL HOLDINGS LIMITED;                                3,908,000;                                0.10%
                                  165;                                CHINA EVERBRIGHT LIMITED;                                103,769,955;                                6.15%
                                  168;                                TSINGTAO BREWERY COMPANY LIMITED;                                59,836,798;                                9.13%
                                  173;                                K. WAH INTERNATIONAL HOLDINGS LIMITED;                                44,171,527;                                1.44%
                                  175;                                GEELY AUTOMOBILE HOLDINGS LIMITED;                                781,635,773;                                8.70%
                                  177;                                JIANGSU EXPRESSWAY COMPANY LIMITED;                                6,120,818;                                0.49%
                                  178;                                SA SA INTERNATIONAL HOLDINGS LIMITED;                                14,911,748;                                0.49%
                                  179;                                JOHNSON ELECTRIC HOLDINGS LIMITED;                                305,000;                                0.03%
                                  187;                                BEIJING JINGCHENG MACHINERY ELECTRIC COMPANY LIMITED;                                20,854,000;                                20.85%
                                  198;                                SMI HOLDINGS GROUP LIMITED;                                102,270,400;                                3.75%
                                  200;                                MELCO INTERNATIONAL DEVELOPMENT LIMITED;                                24,055,000;                                1.56%
                                  207;                                JOY CITY PROPERTY LIMITED;                                23,696,000;                                0.16%
                                  215;                                HUTCHISON TELECOMMUNICATIONS HONG KONG HOLDINGS LIMITED;                                74,486,000;                                1.53%
                                  220;                                UNI-PRESIDENT CHINA HOLDINGS LTD.;                                53,269,489;                                1.22%
                                  241;                                ALIBABA HEALTH INFORMATION TECHNOLOGY LIMITED;                                262,636,000;                                2.79%
