stock_id ;stock_name; holding_num; holding_perc 
                                    1;                                CK HUTCHISON HOLDINGS LIMITED;                                11,808,718;                                0.30%
                                    2;                                CLP HOLDINGS LIMITED;                                3,172,800;                                0.11%
                                    3;                                HONG KONG AND CHINA GAS COMPANY LIMITED, THE;                                17,242,863;                                0.11%
                                    4;                                WHARF (HOLDINGS) LIMITED, THE;                                2,987,000;                                0.09%
                                    5;                                HSBC HOLDINGS PLC;                                992,707,801;                                4.87%
                                    6;                                POWER ASSETS HOLDINGS LIMITED;                                6,829,500;                                0.31%
                                    8;                                PCCW LIMITED;                                6,614,323;                                0.08%
                                   10;                                HANG LUNG GROUP LIMITED;                                688,000;                                0.04%
                                   11;                                HANG SENG BANK LTD;                                1,822,000;                                0.09%
                                   12;                                HENDERSON LAND DEVELOPMENT CO LTD;                                4,408,534;                                0.10%
                                   14;                                HYSAN DEVELOPMENT COMPANY LIMITED;                                796,000;                                0.07%
                                   16;                                SUN HUNG KAI PROPERTIES LTD;                                5,119,338;                                0.16%
                                   17;                                NEW WORLD DEVELOPMENT CO LTD;                                34,573,339;                                0.35%
                                   19;                                SWIRE PACIFIC LTD 'A';                                1,801,000;                                0.19%
                                   20;                                WHEELOCK AND COMPANY LIMITED;                                1,018,572;                                0.04%
                                   23;                                BANK OF EAST ASIA LTD;                                3,886,878;                                0.13%
                                   27;                                GALAXY ENTERTAINMENT GROUP LIMITED;                                25,639,222;                                0.59%
                                   35;                                FAR EAST CONSORTIUM INTERNATIONAL LTD;                                1,118,154;                                0.04%
                                   38;                                FIRST TRACTOR COMPANY LIMITED;                                59,440,100;                                15.16%
                                   41;                                GREAT EAGLE HOLDINGS LIMITED;                                646,049;                                0.09%
                                   42;                                NORTHEAST ELECTRIC DEVELOPMENT COMPANY LIMITED;                                18,340,000;                                7.10%
                                   43;                                C.P. POKPHAND CO LTD;                                2,198,000;                                0.00%
                                   54;                                HOPEWELL HOLDINGS LIMITED;                                44,500;                                0.00%
                                   66;                                MTR CORPORATION LIMITED;                                3,380,466;                                0.05%
                                   69;                                SHANGRI-LA ASIA LIMITED;                                33,598,000;                                0.93%
                                   81;                                CHINA OVERSEAS GRAND OCEANS GROUP LIMITED;                                23,521,693;                                1.02%
                                   83;                                SINO LAND CO.LTD.;                                7,026,202;                                0.10%
                                   86;                                SUN HUNG KAI & CO.LTD;                                3,234,000;                                0.14%
                                   95;                                LVGEM (CHINA) REAL ESTATE INVESTMENT COMPANY LIMITED;                                17,152,000;                                0.36%
                                  101;                                HANG LUNG PROPERTIES LIMITED;                                5,119,000;                                0.11%
                                  107;                                SICHUAN EXPRESSWAY COMPANY LIMITED;                                213,956,000;                                23.89%
                                  109;                                GOOD RESOURCES HOLDINGS LIMITED;                                60,810,000;                                0.85%
                                  116;                                CHOW SANG SANG HOLDINGS INTERNATIONAL LIMITED;                                112,000;                                0.01%
                                  119;                                POLY PROPERTY GROUP CO., LIMITED;                                354,980,000;                                9.69%
                                  123;                                YUEXIU PROPERTY COMPANY LIMITED;                                387,672,000;                                3.12%
                                  135;                                KUNLUN ENERGY COMPANY LIMITED;                                36,674,000;                                0.44%
                                  136;                                HENGTEN NETWORKS GROUP LIMITED;                                3,904,552,000;                                5.23%
                                  142;                                FIRST PACIFIC CO. LTD.;                                1,108,000;                                0.02%
                                  144;                                CHINA MERCHANTS PORT HOLDINGS COMPANY LIMITED;                                9,104,797;                                0.27%
                                  148;                                KINGBOARD CHEMICAL HOLDINGS LIMITED;                                14,250,051;                                1.33%
                                  151;                                WANT WANT CHINA HOLDINGS LIMITED;                                37,821,446;                                0.29%
                                  152;                                SHENZHEN INTERNATIONAL HOLDINGS LIMITED;                                37,751,224;                                1.85%
                                  163;                                EMPEROR INTERNATIONAL HOLDINGS LIMITED;                                3,710,000;                                0.10%
                                  165;                                CHINA EVERBRIGHT LIMITED;                                99,958,068;                                5.92%
                                  168;                                TSINGTAO BREWERY COMPANY LIMITED;                                56,362,100;                                8.60%
                                  173;                                K. WAH INTERNATIONAL HOLDINGS LIMITED;                                43,293,049;                                1.42%
                                  175;                                GEELY AUTOMOBILE HOLDINGS LIMITED;                                814,740,967;                                9.08%
                                  177;                                JIANGSU EXPRESSWAY COMPANY LIMITED;                                7,010,000;                                0.56%
                                  178;                                SA SA INTERNATIONAL HOLDINGS LIMITED;                                14,769,748;                                0.48%
                                  179;                                JOHNSON ELECTRIC HOLDINGS LIMITED;                                444,500;                                0.04%
                                  187;                                BEIJING JINGCHENG MACHINERY ELECTRIC COMPANY LIMITED;                                20,972,000;                                20.97%
                                  198;                                SMI HOLDINGS GROUP LIMITED;                                100,294,400;                                3.68%
                                  200;                                MELCO INTERNATIONAL DEVELOPMENT LIMITED;                                22,140,000;                                1.43%
                                  207;                                JOY CITY PROPERTY LIMITED;                                24,298,000;                                0.17%
                                  215;                                HUTCHISON TELECOMMUNICATIONS HONG KONG HOLDINGS LIMITED;                                73,788,000;                                1.52%
                                  220;                                UNI-PRESIDENT CHINA HOLDINGS LTD.;                                56,664,489;                                1.30%
                                  241;                                ALIBABA HEALTH INFORMATION TECHNOLOGY LIMITED;                                249,298,000;                                2.65%
                                  242;                                SHUN TAK HOLDINGS LIMITED;                                242,272,000;                                7.95%
                                  245;                                CHINA MINSHENG FINANCIAL HOLDING CORPORATION LIMITED;                                48,090,000;                                0.15%
                                  256;                                CITYCHAMP WATCH & JEWELLERY GROUP LIMITED;                                237,594,000;                                5.46%
                                  257;                                CHINA EVERBRIGHT INTERNATIONAL LIMITED;                                143,169,827;                                3.18%
                                  267;                                CITIC LIMITED;                                25,924,533;                                0.08%
                                  268;                                KINGDEE INTERNATIONAL SOFTWARE GROUP COMPANY LIMITED;                                196,739,205;                                6.75%
                                  270;                                GUANGDONG INVESTMENT LIMITED;                                13,241,077;                                0.19%
                                  272;                                SHUI ON LAND LIMITED;                                558,811,596;                                6.92%
                                  279;                                FREEMAN FINTECH CORPORATION LIMITED;                                113,900,000;                                0.72%
                                  285;                                BYD ELECTRONIC (INTERNATIONAL) COMPANY LIMITED;                                123,878,000;                                5.49%
                                  288;                                WH GROUP LIMITED;                                125,029,500;                                0.85%
                                  291;                                CHINA RESOURCES BEER (HOLDINGS) COMPANY LIMITED;                                93,019,333;                                2.86%
                                  293;                                CATHAY PACIFIC AIRWAYS LTD;                                10,136,000;                                0.25%
                                  295;                                KONG SUN HOLDINGS LIMITED;                                20,600,000;                                0.13%
                                  297;                                SINOFERT HOLDINGS LIMITED;                                404,131,000;                                5.75%
                                  300;                                SHENJI GROUP KUNMING MACHINE TOOL COMPANY LIMITED;                                15,684,000;                                11.13%
                                  303;                                VTECH HOLDINGS LIMITED;                                547,700;                                0.20%
                                  308;                                CHINA TRAVEL INTERNATIONAL INVESTMENT HONG KONG LIMITED;                                156,556,200;                                2.86%
                                  315;                                SMARTONE TELECOMMUNICATIONS HOLDINGS LIMITED;                                3,799,034;                                0.34%
                                  316;                                ORIENT OVERSEAS (INTERNATIONAL) LIMITED;                                10,879,500;                                1.73%
                                  317;                                CSSC OFFSHORE & MARINE ENGINEERING (GROUP) COMPANY LIMITED;                                13,276,200;                                2.23%
                                  321;                                TEXWINCA HOLDINGS LIMITED;                                1,558,000;                                0.11%
                                  322;                                TINGYI (CAYMAN ISLANDS) HOLDING CORP.;                                5,162,000;                                0.08%
                                  323;                                MAANSHAN IRON & STEEL COMPANY LIMITED;                                92,960,000;                                5.35%
                                  327;                                PAX GLOBAL TECHNOLOGY LIMITED;                                11,692,000;                                1.05%
                                  330;                                ESPRIT HOLDINGS LIMITED;                                45,084,700;                                2.35%
                                  336;                                HUABAO INTERNATIONAL HOLDINGS LIMITED;                                188,549,100;                                6.05%
                                  337;                                GREENLAND HONG KONG HOLDINGS LIMITED;                                44,605,000;                                1.59%
                                  338;                                SINOPEC SHANGHAI PETROCHEMICAL COMPANY LIMITED;                                90,009,744;                                2.57%
                                  341;                                CAFE DE CORAL HOLDINGS LTD;                                66,000;                                0.00%
                                  345;                                VITASOY INTERNATIONAL HOLDINGS LTD;                                3,064,000;                                0.28%
                                  347;                                ANGANG STEEL COMPANY LIMITED;                                9,592,076;                                0.88%
                                  354;                                CHINASOFT INTERNATIONAL LIMITED;                                264,138,423;                                10.99%
                                  358;                                JIANGXI COPPER COMPANY LIMITED;                                60,766,362;                                4.37%
                                  363;                                SHANGHAI INDUSTRIAL HOLDINGS LIMITED;                                18,433,000;                                1.68%
                                  368;                                SINOTRANS SHIPPING LIMITED;                                84,971,667;                                2.12%
                                  371;                                BEIJING ENTERPRISES WATER GROUP LIMITED;                                305,730,259;                                3.47%
                                  378;                                FDG KINETIC LIMITED;                                10,372,000;                                0.20%
                                  384;                                CHINA GAS HOLDINGS LIMITED;                                18,173,504;                                0.35%
                                  386;                                CHINA PETROLEUM & CHEMICAL CORPORATION;                                371,094,672;                                1.44%
                                  388;                                HONG KONG EXCHANGES AND CLEARING LIMITED;                                12,306,849;                                0.98%
                                  390;                                CHINA RAILWAY GROUP LIMITED;                                256,321,299;                                6.08%
                                  392;                                BEIJING ENTERPRISES HOLDINGS LIMITED;                                78,199,429;                                6.19%
                                  400;                                COGOBUY GROUP;                                42,461,000;                                2.88%
                                  410;                                SOHO CHINA LIMITED;                                227,603,500;                                4.37%
                                  412;                                CHINA SHANDONG HI-SPEED FINANCIAL GROUP LIMITED;                                40,398,000;                                0.16%
                                  419;                                HUAYI TENCENT ENTERTAINMENT COMPANY LIMITED;                                225,200,000;                                1.66%
                                  425;                                MINTH GROUP LIMITED;                                75,488,000;                                
                                  439;                                KUANGCHI SCIENCE LIMITED;                                176,955,000;                                2.89%
                                  440;                                DAH SING FINANCIAL HOLDINGS LTD;                                916,800;                                0.26%
                                  451;                                GCL NEW ENERGY HOLDINGS LIMITED;                                150,386,000;                                0.78%
                                  460;                                SIHUAN PHARMACEUTICAL HOLDINGS GROUP LTD.;                                321,653,000;                                3.39%
                                  467;                                UNITED ENERGY GROUP LIMITED;                                20,594,000;                                0.07%
                                  468;                                GREATVIEW ASEPTIC PACKAGING COMPANY LIMITED;                                562,000;                                0.04%
                                  480;                                HKR INTERNATIONAL LTD;                                490,400;                                0.03%
                                  488;                                LAI SUN DEVELOPMENT COMPANY LIMITED-NEW;                                15,900;                                0.00%
                                  489;                                DONGFENG MOTOR GROUP COMPANY LIMITED;                                126,010,000;                                4.41%
                                  493;                                GOME RETAIL HOLDINGS LIMITED;                                1,863,865,000;                                8.64%
                                  494;                                LI & FUNG LIMITED;                                16,036,000;                                0.18%
                                  506;                                CHINA FOODS LIMITED;                                234,274,100;                                8.37%
                                  511;                                TELEVISION BROADCASTS LTD;                                978,100;                                0.21%
                                  522;                                ASM PACIFIC TECHNOLOGY LIMITED;                                12,904,800;                                3.16%
                                  525;                                GUANGSHEN RAILWAY COMPANY LIMITED;                                174,616,010;                                12.19%
                                  530;                                GOLDIN FINANCIAL HOLDINGS LIMITED;                                9,388,000;                                0.13%
                                  535;                                GEMDALE PROPERTIES AND INVESTMENT CORPORATION LIMITED;                                159,568,000;                                1.00%
                                  546;                                FUFENG GROUP LIMITED;                                105,974,000;                                4.16%
                                  547;                                DIGITAL DOMAIN HOLDINGS LIMITED;                                605,510,000;                                2.69%
                                  548;                                SHENZHEN EXPRESSWAY COMPANY LIMITED;                                111,396,000;                                14.89%
                                  551;                                YUE YUEN INDUSTRIAL (HOLDINGS) LIMITED;                                544,500;                                0.02%
                                  552;                                CHINA COMMUNICATIONS SERVICES CORPORATION LIMITED;                                25,314,000;                                1.05%
                                  553;                                NANJING PANDA ELECTRONICS COMPANY LIMITED;                                73,112,000;                                30.20%
                                  563;                                SHANGHAI INDUSTRIAL URBAN DEVELOPMENT GROUP LIMITED;                                19,028,000;                                0.39%
                                  564;                                ZHENGZHOU COAL MINING MACHINERY GROUP COMPANY LIMITED;                                48,588,300;                                19.96%
                                  566;                                HANERGY THIN FILM POWER GROUP LIMITED;                                658,879,000;                                1.57%
                                  568;                                SHANDONG MOLONG PETROLEUM MACHINERY COMPANY LIMITED;                                10,539,200;                                4.11%
                                  570;                                CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO LIMITED;                                268,362,000;                                6.05%
                                  576;                                ZHEJIANG EXPRESSWAY CO., LTD.;                                17,964,839;                                1.24%
                                  579;                                BEIJING JINGNENG CLEAN ENERGY CO., LIMITED;                                209,796,000;                                8.89%
                                  581;                                CHINA ORIENTAL GROUP COMPANY LIMITED;                                49,876,000;                                1.41%
                                  586;                                CHINA CONCH VENTURE HOLDINGS LIMITED;                                30,628,900;                                1.69%
                                  588;                                BEIJING NORTH STAR COMPANY LIMITED;                                121,928,000;                                17.23%
                                  590;                                LUK FOOK HOLDINGS (INTERNATIONAL) LIMITED;                                694,000;                                0.11%
                                  598;                                SINOTRANS LIMITED;                                65,393,000;                                3.04%
                                  604;                                SHENZHEN INVESTMENT LIMITED;                                324,066,238;                                4.06%
                                  606;                                CHINA AGRI-INDUSTRIES HOLDINGS LIMITED;                                256,920,597;                                4.88%
                                  607;                                FULLSHARE HOLDINGS LIMITED;                                4,112,627,500;                                20.83%
                                  636;                                KERRY LOGISTICS NETWORK LIMITED;                                819,500;                                0.04%
                                  639;                                SHOUGANG FUSHAN RESOURCES GROUP LIMITED;                                213,042,000;                                4.01%
                                  656;                                FOSUN INTERNATIONAL LIMITED;                                455,958,699;                                5.31%
                                  658;                                CHINA HIGH SPEED TRANSMISSION EQUIPMENT GROUP CO., LTD.;                                184,871,000;                                11.29%
                                  659;                                NWS HOLDINGS LIMITED;                                940,358;                                0.01%
                                  665;                                HAITONG INTERNATIONAL SECURITIES GROUP LIMITED;                                323,595,834;                                5.96%
                                  669;                                TECHTRONIC INDUSTRIES CO. LTD.;                                769,350;                                0.03%
                                  670;                                CHINA EASTERN AIRLINES CORPORATION LIMITED;                                423,016,000;                                9.07%
                                  680;                                NAN HAI CORPORATION LIMITED;                                1,611,800,000;                                2.34%
                                  683;                                KERRY PROPERTIES LIMITED;                                3,153,000;                                0.21%
