stock_id ;stock_name; holding_num; holding_perc 
                                    1;                                CK HUTCHISON HOLDINGS LIMITED;                                11,922,298;                                0.30%
                                    2;                                CLP HOLDINGS LIMITED;                                3,171,300;                                0.11%
                                    3;                                HONG KONG AND CHINA GAS COMPANY LIMITED, THE;                                17,205,763;                                0.11%
                                    4;                                WHARF (HOLDINGS) LIMITED, THE;                                3,020,000;                                0.09%
                                    5;                                HSBC HOLDINGS PLC;                                1,012,503,657;                                4.97%
                                    6;                                POWER ASSETS HOLDINGS LIMITED;                                7,770,500;                                0.36%
                                    8;                                PCCW LIMITED;                                7,643,323;                                0.09%
                                   10;                                HANG LUNG GROUP LIMITED;                                1,354,000;                                0.09%
                                   11;                                HANG SENG BANK LTD;                                1,607,100;                                0.08%
                                   12;                                HENDERSON LAND DEVELOPMENT CO LTD;                                4,650,114;                                0.11%
                                   14;                                HYSAN DEVELOPMENT COMPANY LIMITED;                                780,000;                                0.07%
                                   16;                                SUN HUNG KAI PROPERTIES LTD;                                4,045,338;                                0.13%
                                   17;                                NEW WORLD DEVELOPMENT CO LTD;                                26,421,339;                                0.26%
                                   19;                                SWIRE PACIFIC LTD 'A';                                1,242,000;                                0.13%
                                   20;                                WHEELOCK AND COMPANY LIMITED;                                988,572;                                0.04%
                                   23;                                BANK OF EAST ASIA LTD;                                3,647,278;                                0.13%
                                   27;                                GALAXY ENTERTAINMENT GROUP LIMITED;                                24,625,222;                                0.56%
                                   35;                                FAR EAST CONSORTIUM INTERNATIONAL LTD;                                1,401,154;                                0.06%
                                   38;                                FIRST TRACTOR COMPANY LIMITED;                                61,796,100;                                15.76%
                                   41;                                GREAT EAGLE HOLDINGS LIMITED;                                804,049;                                0.11%
                                   42;                                NORTHEAST ELECTRIC DEVELOPMENT COMPANY LIMITED;                                19,734,000;                                7.65%
                                   43;                                C.P. POKPHAND CO LTD;                                3,068,000;                                0.00%
                                   54;                                HOPEWELL HOLDINGS LIMITED;                                43,000;                                0.00%
                                   66;                                MTR CORPORATION LIMITED;                                3,474,966;                                0.05%
                                   69;                                SHANGRI-LA ASIA LIMITED;                                28,392,000;                                0.78%
                                   81;                                CHINA OVERSEAS GRAND OCEANS GROUP LIMITED;                                23,822,693;                                1.03%
                                   83;                                SINO LAND CO.LTD.;                                6,344,202;                                0.09%
                                   86;                                SUN HUNG KAI & CO.LTD;                                3,138,000;                                0.14%
                                   95;                                LVGEM (CHINA) REAL ESTATE INVESTMENT COMPANY LIMITED;                                17,640,000;                                0.37%
                                  101;                                HANG LUNG PROPERTIES LIMITED;                                4,991,000;                                0.10%
                                  107;                                SICHUAN EXPRESSWAY COMPANY LIMITED;                                216,518,000;                                24.18%
                                  109;                                GOOD RESOURCES HOLDINGS LIMITED;                                60,350,000;                                0.84%
                                  116;                                CHOW SANG SANG HOLDINGS INTERNATIONAL LIMITED;                                126,000;                                0.01%
                                  119;                                POLY PROPERTY GROUP CO., LIMITED;                                354,530,000;                                9.68%
                                  123;                                YUEXIU PROPERTY COMPANY LIMITED;                                375,030,000;                                3.02%
                                  135;                                KUNLUN ENERGY COMPANY LIMITED;                                36,142,000;                                0.43%
                                  136;                                HENGTEN NETWORKS GROUP LIMITED;                                4,235,252,000;                                5.67%
                                  142;                                FIRST PACIFIC CO. LTD.;                                1,160,000;                                0.02%
                                  144;                                CHINA MERCHANTS PORT HOLDINGS COMPANY LIMITED;                                8,735,161;                                0.26%
                                  148;                                KINGBOARD CHEMICAL HOLDINGS LIMITED;                                14,486,051;                                1.35%
                                  151;                                WANT WANT CHINA HOLDINGS LIMITED;                                42,570,446;                                0.34%
                                  152;                                SHENZHEN INTERNATIONAL HOLDINGS LIMITED;                                38,904,724;                                1.91%
                                  163;                                EMPEROR INTERNATIONAL HOLDINGS LIMITED;                                4,220,000;                                0.11%
                                  165;                                CHINA EVERBRIGHT LIMITED;                                102,951,955;                                6.09%
                                  168;                                TSINGTAO BREWERY COMPANY LIMITED;                                60,024,798;                                9.16%
                                  173;                                K. WAH INTERNATIONAL HOLDINGS LIMITED;                                43,404,527;                                1.41%
                                  175;                                GEELY AUTOMOBILE HOLDINGS LIMITED;                                796,404,773;                                8.87%
                                  177;                                JIANGSU EXPRESSWAY COMPANY LIMITED;                                5,752,818;                                0.46%
                                  178;                                SA SA INTERNATIONAL HOLDINGS LIMITED;                                14,749,748;                                0.48%
                                  179;                                JOHNSON ELECTRIC HOLDINGS LIMITED;                                174,500;                                0.01%
                                  187;                                BEIJING JINGCHENG MACHINERY ELECTRIC COMPANY LIMITED;                                20,788,000;                                20.78%
                                  198;                                SMI HOLDINGS GROUP LIMITED;                                102,078,400;                                3.75%
                                  200;                                MELCO INTERNATIONAL DEVELOPMENT LIMITED;                                26,348,000;                                1.71%
                                  207;                                JOY CITY PROPERTY LIMITED;                                23,696,000;                                0.16%
