stock_id ;stock_name; holding_num; holding_perc 
                                  295;                                KONG SUN HOLDINGS LIMITED;                                31,800,000;                                0.21%
                                  297;                                SINOFERT HOLDINGS LIMITED;                                361,596,000;                                5.14%
                                  300;                                SHENJI GROUP KUNMING MACHINE TOOL COMPANY LIMITED;                                15,684,000;                                11.13%
                                  303;                                VTECH HOLDINGS LIMITED;                                492,300;                                0.19%
                                  308;                                CHINA TRAVEL INTERNATIONAL INVESTMENT HONG KONG LIMITED;                                142,658,200;                                2.61%
                                  315;                                SMARTONE TELECOMMUNICATIONS HOLDINGS LIMITED;                                3,246,534;                                0.28%
                                  316;                                ORIENT OVERSEAS (INTERNATIONAL) LIMITED;                                8,031,000;                                1.27%
                                  317;                                CSSC OFFSHORE & MARINE ENGINEERING (GROUP) COMPANY LIMITED;                                13,854,200;                                2.33%
                                  321;                                TEXWINCA HOLDINGS LIMITED;                                1,358,000;                                0.09%
                                  322;                                TINGYI (CAYMAN ISLANDS) HOLDING CORP.;                                6,430,000;                                0.10%
                                  323;                                MAANSHAN IRON & STEEL COMPANY LIMITED;                                84,368,000;                                4.86%
                                  327;                                PAX GLOBAL TECHNOLOGY LIMITED;                                17,894,000;                                1.61%
                                  330;                                ESPRIT HOLDINGS LIMITED;                                81,879,400;                                4.27%
                                  336;                                HUABAO INTERNATIONAL HOLDINGS LIMITED;                                190,994,100;                                6.14%
                                  337;                                GREENLAND HONG KONG HOLDINGS LIMITED;                                78,934,000;                                2.82%
                                  338;                                SINOPEC SHANGHAI PETROCHEMICAL COMPANY LIMITED;                                94,593,744;                                2.69%
                                  341;                                CAFE DE CORAL HOLDINGS LTD;                                74,000;                                0.00%
                                  345;                                VITASOY INTERNATIONAL HOLDINGS LTD;                                4,002,000;                                0.37%
                                  347;                                ANGANG STEEL COMPANY LIMITED;                                6,512,076;                                0.59%
                                  354;                                CHINASOFT INTERNATIONAL LIMITED;                                283,820,423;                                11.81%
                                  358;                                JIANGXI COPPER COMPANY LIMITED;                                65,158,581;                                4.68%
                                  363;                                SHANGHAI INDUSTRIAL HOLDINGS LIMITED;                                15,162,756;                                1.38%
                                  368;                                SINOTRANS SHIPPING LIMITED;                                87,138,667;                                2.18%
                                  371;                                BEIJING ENTERPRISES WATER GROUP LIMITED;                                309,795,487;                                3.51%
                                  378;                                FDG KINETIC LIMITED;                                12,750,000;                                0.18%
                                  384;                                CHINA GAS HOLDINGS LIMITED;                                17,760,149;                                0.35%
                                  386;                                CHINA PETROLEUM & CHEMICAL CORPORATION;                                384,042,672;                                1.49%
                                  388;                                HONG KONG EXCHANGES AND CLEARING LIMITED;                                13,482,648;                                1.08%
                                  390;                                CHINA RAILWAY GROUP LIMITED;                                258,921,299;                                6.15%
                                  392;                                BEIJING ENTERPRISES HOLDINGS LIMITED;                                78,458,982;                                6.21%
                                  400;                                COGOBUY GROUP;                                43,258,000;                                2.93%
                                  410;                                SOHO CHINA LIMITED;                                224,037,000;                                4.30%
                                  412;                                CHINA SHANDONG HI-SPEED FINANCIAL GROUP LIMITED;                                39,018,000;                                0.15%
                                  419;                                HUAYI TENCENT ENTERTAINMENT COMPANY LIMITED;                                250,500,000;                                1.85%
                                  425;                                MINTH GROUP LIMITED;                                80,741,000;                                
                                  439;                                KUANGCHI SCIENCE LIMITED;                                177,043,000;                                2.89%
                                  440;                                DAH SING FINANCIAL HOLDINGS LTD;                                1,055,600;                                0.30%
                                  451;                                GCL NEW ENERGY HOLDINGS LIMITED;                                166,122,000;                                0.87%
                                  460;                                SIHUAN PHARMACEUTICAL HOLDINGS GROUP LTD.;                                342,891,000;                                3.61%
                                  467;                                UNITED ENERGY GROUP LIMITED;                                25,006,000;                                0.09%
                                  468;                                GREATVIEW ASEPTIC PACKAGING COMPANY LIMITED;                                513,000;                                0.03%
                                  480;                                HKR INTERNATIONAL LTD;                                466,400;                                0.03%
                                  488;                                LAI SUN DEVELOPMENT COMPANY LIMITED-NEW;                                14,100;                                0.00%
                                  489;                                DONGFENG MOTOR GROUP COMPANY LIMITED;                                102,704,000;                                3.58%
