date,holding_num,holding_perc
20171018,416222620,9.51%
20171019,415623970,9.50%
20171020,414268070,9.46%
20171021,409956070,9.37%
20171023,409956070,9.37%
20171024,410548070,9.38%
20171025,407615870,9.31%
20171026,406668670,9.29%
20171027,409595670,9.36%
20171028,409888320,9.36%
20171029,409888320,9.36%
20171030,409888320,9.36%
20171031,413817670,9.45%
20171101,413033420,9.44%
20171102,404965120,9.25%
20171103,399911120,9.14%
20171104,398402120,9.11%
20171105,398402120,9.11%
20171106,398402120,9.11%
20171107,395236070,9.03%
20171108,395664070,9.04%
20171109,396947270,9.07%
20171110,402519520,9.20%
20171111,401850520,9.18%
20171112,401850520,9.18%
20171113,401850520,9.18%
20171114,403174320,9.21%
20171115,401061320,9.17%
20171116,399841320,9.13%
20171117,399869470,9.13%
20171118,401866370,9.19%
20171119,401866370,9.19%
20171120,401866370,9.19%
20171121,401697370,9.18%
20171122,402702370,9.20%
20171123,403609970,9.22%
20171124,377518470,8.63%
20171125,389767170,8.90%
