date,holding_num,holding_perc
20171018,215042000,7.74%
20171019,215570000,7.76%
20171020,214856000,7.73%
20171021,217414000,7.82%
20171023,217414000,7.82%
20171024,217184000,7.81%
20171025,217858000,7.84%
20171026,218250000,7.85%
20171027,219352000,7.89%
20171028,218732000,7.87%
20171029,218732000,7.87%
20171030,218732000,7.87%
20171031,219188000,7.89%
20171101,220262000,7.92%
20171102,220244000,7.92%
20171103,220794000,7.94%
20171104,221930000,7.98%
20171105,221930000,7.98%
20171106,221930000,7.98%
20171107,222498000,8.00%
20171108,221740000,7.98%
20171109,222654000,8.01%
20171110,223054000,8.02%
20171111,222292000,8.00%
20171112,222292000,8.00%
20171113,222292000,8.00%
20171114,223202000,8.03%
20171115,225938000,8.13%
20171116,224770000,8.09%
20171117,224908000,8.09%
20171118,226686000,8.16%
20171119,226686000,8.16%
20171120,226686000,8.16%
20171121,225276000,8.10%
20171122,223866000,8.05%
20171123,219956000,7.91%
20171124,219012000,7.88%
20171125,217890000,7.84%
