date,holding_num,holding_perc
20171018,540422771,2.55%
20171019,538024771,2.54%
20171020,536176771,2.54%
20171021,537350771,2.54%
20171023,537350771,2.54%
20171024,520538771,2.46%
20171025,520592771,2.46%
20171026,523578771,2.47%
20171027,523704771,2.47%
20171028,523884771,2.47%
20171029,523884771,2.47%
20171030,523884771,2.47%
20171031,522052771,2.46%
20171101,519342771,2.45%
20171102,566462771,2.67%
20171103,568486771,2.69%
20171104,573948771,2.71%
20171105,573948771,2.71%
20171106,573948771,2.71%
20171107,601128771,2.84%
20171108,600904771,2.84%
20171109,617152771,2.92%
20171110,661532771,3.12%
20171111,705788771,3.33%
20171112,705788771,3.33%
20171113,705788771,3.33%
20171114,711824771,3.36%
20171115,710770771,3.36%
20171116,705976771,3.34%
20171117,699992771,3.30%
20171118,701130771,3.32%
20171119,701130771,3.32%
20171120,701130771,3.32%
20171121,704232771,3.32%
20171122,706526771,3.33%
20171123,701440771,3.31%
20171124,699106771,3.31%
20171125,705076771,3.33%
