date,holding_num,holding_perc
20171018,6475500,0.24%
20171019,6475500,0.24%
20171020,6475500,0.24%
20171021,6475500,0.24%
20171023,6475500,0.24%
20171024,6475500,0.24%
20171025,6475500,0.24%
20171026,6475500,0.24%
20171027,6475500,0.24%
20171028,6475500,0.24%
20171029,6475500,0.24%
20171030,6475500,0.24%
20171031,6475500,0.24%
20171101,6475500,0.24%
20171102,6475500,0.24%
20171103,6475500,0.24%
20171104,6475500,0.24%
20171105,6475500,0.24%
20171106,6475500,0.24%
20171107,6455500,0.24%
20171108,6395500,0.24%
20171109,6395500,0.24%
20171110,6395500,0.24%
20171111,6395500,0.24%
20171112,6395500,0.24%
20171113,6395500,0.24%
20171114,6395500,0.24%
20171115,6395500,0.24%
20171116,6395500,0.24%
20171117,6386500,0.24%
20171118,6386500,0.24%
20171119,6386500,0.24%
20171120,6386500,0.24%
20171121,6386500,0.24%
20171122,6386500,0.24%
20171123,6386500,0.24%
20171124,6386500,0.24%
20171125,6386500,0.24%
