20171019;                                197400;                                0.09%

20171020;                                423600;                                0.19%

20171021;                                422600;                                0.19%

20171023;                                422600;                                0.19%

20171024;                                481600;                                0.22%

20171025;                                519800;                                0.24%

20171026;                                589000;                                0.26%

20171027;                                622000;                                0.28%

20171028;                                585200;                                0.26%

20171029;                                585200;                                0.26%

20171030;                                585200;                                0.26%

20171031;                                582800;                                0.26%

20171101;                                571800;                                0.25%

20171102;                                587000;                                0.27%

20171103;                                625000;                                0.28%

20171104;                                750600;                                0.34%

