date,holding_num,holding_perc
20171018,3878300,1.08%
20171019,4324900,1.21%
20171020,4170400,1.16%
20171021,4195900,1.17%
20171023,4195900,1.17%
20171024,4184000,1.16%
20171025,4227900,1.17%
20171026,4207600,1.17%
20171027,4242900,1.18%
20171028,4340600,1.21%
20171029,4340600,1.21%
20171030,4340600,1.21%
20171031,4676700,1.30%
20171101,4738500,1.31%
20171102,4730300,1.32%
20171103,4659800,1.30%
20171104,4638600,1.29%
20171105,4638600,1.29%
20171106,4638600,1.29%
20171107,4581100,1.27%
20171108,4522200,1.26%
20171109,4517400,1.26%
20171110,4342800,1.21%
20171111,4351300,1.21%
20171112,4351300,1.21%
20171113,4351300,1.21%
20171114,4446400,1.24%
20171115,4454200,1.24%
20171116,4463500,1.24%
20171117,4458400,1.24%
20171118,4424100,1.23%
20171119,4424100,1.23%
20171120,4424100,1.23%
20171121,4372100,1.22%
20171122,4353900,1.21%
20171123,4347000,1.21%
20171124,4317400,1.20%
20171125,4298800,1.20%
