date,holding_num,holding_perc
20171018,2642116800,17.74%
20171019,2644742800,17.76%
20171020,2647959800,17.78%
20171021,2658602800,17.85%
20171023,2658602800,17.85%
20171024,2678079800,17.99%
20171025,2683780800,18.03%
20171026,2691881800,18.08%
20171027,2696185800,18.11%
20171028,2694492800,18.10%
20171029,2694492800,18.10%
20171030,2694492800,18.10%
20171031,2706948800,18.18%
20171101,2708878800,18.19%
20171102,2715834800,18.24%
20171103,2734766800,18.37%
20171104,2752736800,18.48%
20171105,2752736800,18.48%
20171106,2752736800,18.48%
20171107,2756605800,18.51%
20171108,2761292800,18.54%
20171109,2776558800,18.65%
20171110,2784601800,18.70%
20171111,2800185800,18.80%
20171112,2800185800,18.80%
20171113,2800185800,18.80%
20171114,2807487800,18.85%
20171115,2815531800,18.91%
20171116,2824889800,18.97%
20171117,2832934800,19.02%
20171118,2849227800,19.13%
20171119,2849227800,19.13%
20171120,2849227800,19.13%
20171121,2859700800,19.21%
20171122,2854322800,19.17%
20171123,2866276800,19.25%
20171124,2870263800,19.27%
20171125,2865464800,19.24%
