date;holding_num;holding_perc
20171018;                                94416000;                                1.57%

20171019;                                92318000;                                1.53%

20171020;                                94962000;                                1.58%

20171021;                                94685000;                                1.57%

20171023;                                94685000;                                1.57%

20171024;                                95676000;                                1.59%

20171025;                                97461000;                                1.61%

20171026;                                98585000;                                1.63%

20171027;                                100931000;                                1.66%

20171028;                                103513000;                                1.71%

20171029;                                103513000;                                1.71%

20171030;                                103513000;                                1.71%

20171031;                                103709000;                                1.71%

20171101;                                102699000;                                1.69%

20171102;                                104559000;                                1.73%

20171103;                                111132000;                                1.83%

20171104;                                112237000;                                1.85%

