date;holding_num;holding_perc
20171018;                                212161599;                                5.56%

20171019;                                213432399;                                5.59%

20171020;                                213715199;                                5.59%

20171021;                                213615599;                                5.59%

20171023;                                213615599;                                5.59%

20171024;                                214287599;                                5.61%

20171025;                                215056399;                                5.64%

20171026;                                215395179;                                5.64%

20171027;                                232027979;                                6.08%

20171028;                                250774379;                                6.57%

20171029;                                250774379;                                6.57%

20171030;                                250774379;                                6.57%

20171031;                                257224379;                                6.74%

20171101;                                262163179;                                6.87%

20171102;                                265170379;                                6.94%

20171103;                                267937579;                                7.02%

20171104;                                271829979;                                7.12%

