date,holding_num,holding_perc
20171018,78500,0.00%
20171019,78500,0.00%
20171020,78500,0.00%
20171021,78500,0.00%
20171023,78500,0.00%
20171024,78500,0.00%
20171025,78500,0.00%
20171026,78500,0.00%
20171027,78500,0.00%
20171028,78500,0.00%
20171029,78500,0.00%
20171030,78500,0.00%
20171031,78500,0.00%
20171101,78500,0.00%
20171102,78500,0.00%
20171103,78500,0.00%
20171104,78500,0.00%
20171105,78500,0.00%
20171106,78500,0.00%
20171107,78500,0.00%
20171108,58000,0.00%
20171109,58000,0.00%
20171110,58000,0.00%
20171111,58000,0.00%
20171112,58000,0.00%
20171113,58000,0.00%
20171114,58000,0.00%
20171115,58000,0.00%
20171116,58000,0.00%
20171117,58000,0.00%
20171118,58000,0.00%
20171119,58000,0.00%
20171120,58000,0.00%
20171121,58000,0.00%
20171122,58000,0.00%
20171123,58000,0.00%
20171124,58000,0.00%
20171125,58000,0.00%
