date,holding_num,holding_perc
20171018,303118259,3.44%
20171019,303874259,3.45%
20171020,305730259,3.47%
20171021,303802259,3.45%
20171023,303802259,3.45%
20171024,310788259,3.53%
20171025,311336259,3.53%
20171026,317220259,3.60%
20171027,317672259,3.61%
20171028,318116259,3.62%
20171029,318116259,3.62%
20171030,318116259,3.62%
20171031,318232259,3.62%
20171101,320030259,3.64%
20171102,318764259,3.63%
20171103,317802259,3.61%
20171104,317185487,3.61%
20171105,317185487,3.61%
20171106,317185487,3.61%
20171107,315957487,3.58%
20171108,312125487,3.54%
20171109,311687487,3.53%
20171110,310165487,3.52%
20171111,309795487,3.51%
20171112,309795487,3.51%
20171113,309795487,3.51%
20171114,306973487,3.49%
20171115,305971487,3.47%
20171116,301263487,3.42%
20171117,297351487,3.37%
20171118,297461487,3.38%
20171119,297461487,3.38%
20171120,297461487,3.38%
20171121,299479487,3.40%
20171122,300627487,3.41%
20171123,301895487,3.43%
20171124,301655487,3.42%
20171125,302765487,3.43%
