date,holding_num,holding_perc
20171018,120790317,1.62%
20171019,120594317,1.61%
20171020,125603317,1.68%
20171021,125898317,1.68%
20171023,125898317,1.68%
20171024,125910317,1.68%
20171025,126025317,1.68%
20171026,125354317,1.68%
20171027,125383317,1.68%
20171028,124696317,1.66%
20171029,124696317,1.66%
20171030,124696317,1.66%
20171031,124804317,1.67%
20171101,126092317,1.68%
20171102,129864317,1.74%
20171103,131005317,1.75%
20171104,132781408,1.77%
20171105,132781408,1.77%
20171106,132781408,1.77%
20171107,135615408,1.81%
20171108,135004408,1.81%
20171109,133519408,1.79%
20171110,131359408,1.76%
20171111,131198408,1.76%
20171112,131198408,1.76%
20171113,131198408,1.76%
20171114,131270408,1.76%
20171115,134133408,1.79%
20171116,132462408,1.77%
20171117,131499408,1.76%
20171118,131016408,1.75%
20171119,131016408,1.75%
20171120,131016408,1.75%
20171121,130579408,1.74%
20171122,131312408,1.75%
20171123,130621408,1.75%
20171124,133158408,1.78%
20171125,133319408,1.78%
