date,holding_num,holding_perc
20171018,100628068,5.96%
20171019,100240068,5.94%
20171020,99958068,5.92%
20171021,99796068,5.92%
20171023,99796068,5.92%
20171024,99796068,5.91%
20171025,99630068,5.90%
20171026,99872068,5.92%
20171027,100462068,5.95%
20171028,100464068,5.95%
20171029,100464068,5.95%
20171030,100464068,5.95%
20171031,100834068,5.97%
20171101,101120068,5.99%
20171102,101520068,6.02%
20171103,102130068,6.05%
20171104,102789743,6.09%
20171105,102789743,6.09%
20171106,102789743,6.09%
20171107,103309955,6.12%
20171108,103769955,6.15%
20171109,103735955,6.15%
20171110,103737955,6.15%
20171111,103935955,6.16%
20171112,103935955,6.16%
20171113,103935955,6.16%
20171114,104609955,6.20%
20171115,104153955,6.17%
20171116,102951955,6.09%
20171117,102201955,6.05%
20171118,101415955,6.01%
20171119,101415955,6.01%
20171120,101415955,6.01%
20171121,101607955,6.02%
20171122,100819955,5.97%
20171123,100931955,5.98%
20171124,100875955,5.98%
20171125,100045955,5.93%
