20171024,9485500,0.95%
20171025,9494000,0.95%
20171026,9493000,0.95%
20171027,9126000,0.91%
20171028,9065000,0.90%
20171029,9065000,0.90%
20171030,9065000,0.90%
20171031,9131000,0.91%
20171101,9291500,0.93%
20171102,9362000,0.93%
20171103,9448500,0.94%
20171104,9570000,0.95%
20171105,9570000,0.95%
20171106,9570000,0.95%
20171107,9177500,0.91%
20171108,11619500,1.16%
20171109,12619000,1.26%
20171110,13063500,1.30%
20171111,13733500,1.37%
20171112,13733500,1.37%
20171113,13733500,1.37%
20171114,13896500,1.39%
20171115,13954000,1.39%
20171116,14080000,1.41%
20171117,14051000,1.40%
20171118,14155000,1.41%
20171119,14155000,1.41%
20171120,14155000,1.41%
20171121,14313000,1.31%
20171122,14290500,1.31%
20171123,14118500,1.30%
20171124,14574500,1.34%
20171125,14519000,1.33%
