date;holding_num;holding_perc
20171018;                                209750000;                                8.89%

20171019;                                209928000;                                8.90%

20171020;                                209796000;                                8.89%

20171021;                                208538000;                                8.84%

20171023;                                208538000;                                8.84%

20171024;                                209190000;                                8.87%

20171025;                                209846000;                                8.89%

20171026;                                210270000;                                8.91%

20171027;                                211210000;                                8.95%

20171028;                                211994000;                                8.99%

20171029;                                211994000;                                8.99%

20171030;                                211994000;                                8.99%

20171031;                                212402000;                                9.00%

20171101;                                212766000;                                9.02%

20171102;                                211782000;                                8.98%

20171103;                                212064000;                                8.99%

20171104;                                212764000;                                9.02%

