date,holding_num,holding_perc
20171018,11291000,1.02%
20171019,11479000,1.03%
20171020,11692000,1.05%
20171021,12271000,1.11%
20171023,12271000,1.11%
20171024,12668000,1.14%
20171025,13070000,1.18%
20171026,13321000,1.20%
20171027,13516000,1.22%
20171028,14469000,1.30%
20171029,14469000,1.30%
20171030,14469000,1.30%
20171031,16989000,1.53%
20171101,16614000,1.50%
20171102,16465000,1.48%
20171103,16974000,1.53%
20171104,17476000,1.58%
20171105,17476000,1.58%
20171106,17476000,1.58%
20171107,17465000,1.58%
20171108,17388000,1.57%
20171109,17808000,1.61%
20171110,17667000,1.59%
20171111,17894000,1.61%
20171112,17894000,1.61%
20171113,17894000,1.61%
20171114,16525000,1.49%
20171115,16129000,1.45%
20171116,16037000,1.45%
20171117,16731000,1.51%
20171118,16711000,1.51%
20171119,16711000,1.51%
20171120,16711000,1.51%
20171121,16339000,1.47%
20171122,16559000,1.49%
20171123,17754000,1.60%
20171124,17632000,1.59%
20171125,17176000,1.55%
