date,holding_num,holding_perc
20171018,47077124,2.76%
20171019,47000724,2.76%
20171020,47005724,2.76%
20171021,46922924,2.75%
20171023,46922924,2.75%
20171024,46926724,2.75%
20171025,46601124,2.73%
20171026,45092124,2.64%
20171027,45569724,2.67%
20171028,45554324,2.67%
20171029,45554324,2.67%
20171030,45554324,2.67%
20171031,45602324,2.67%
20171101,45385524,2.66%
20171102,47592524,2.79%
20171103,47571924,2.79%
20171104,47678124,2.80%
20171105,47678124,2.80%
20171106,47678124,2.80%
20171107,47488524,2.79%
20171108,47830924,2.81%
20171109,50906124,2.99%
20171110,51080324,3.00%
20171111,52107524,3.06%
20171112,52107524,3.06%
20171113,52107524,3.06%
20171114,54291724,3.19%
20171115,54983524,3.23%
20171116,56641724,3.32%
20171117,58910724,3.46%
20171118,60188124,3.53%
20171119,60188124,3.53%
20171120,60188124,3.53%
20171121,61089724,3.58%
20171122,61608524,3.62%
20171123,62714524,3.68%
20171124,62915324,3.69%
20171125,63112124,3.70%
