date,holding_num,holding_perc
20171018,381707605,5.05%
20171019,381439605,5.04%
20171020,382253605,5.05%
20171021,383083605,5.06%
20171023,383083605,5.06%
20171024,383549605,5.06%
20171025,385157605,5.09%
20171026,386213605,5.11%
20171027,387013605,5.11%
20171028,387241605,5.12%
20171029,387241605,5.12%
20171030,387241605,5.12%
20171031,387439605,5.12%
20171101,383499605,5.07%
20171102,383669605,5.07%
20171103,383077605,5.07%
20171104,382251605,5.05%
20171105,382251605,5.05%
20171106,382251605,5.05%
20171107,382359605,5.05%
20171108,381803605,5.04%
20171109,377673605,4.99%
20171110,376609605,4.98%
20171111,379699605,5.02%
20171112,379699605,5.02%
20171113,379699605,5.02%
20171114,381483605,5.04%
20171115,384695605,5.08%
20171116,384115605,5.08%
20171117,382233605,5.05%
20171118,381305605,5.03%
20171119,381305605,5.03%
20171120,381305605,5.03%
20171121,382983605,5.05%
20171122,384961605,5.09%
20171123,384401605,5.08%
20171124,390119605,5.15%
20171125,398635605,5.26%
