date,holding_num,holding_perc
20171018,70708000,7.10%
20171019,70826000,7.11%
20171020,70935000,7.12%
20171021,71248000,7.15%
20171023,71248000,7.15%
20171024,71510000,7.18%
20171025,71334000,7.16%
20171026,71510000,7.18%
20171027,72367000,7.26%
20171028,72485000,7.27%
20171029,72485000,7.27%
20171030,72485000,7.27%
20171031,73610000,7.39%
20171101,74980000,7.53%
20171102,75465000,7.57%
20171103,75787000,7.61%
20171104,75629000,7.59%
20171105,75629000,7.59%
20171106,75629000,7.59%
20171107,76681000,7.70%
20171108,77959000,7.82%
20171109,78053000,7.83%
20171110,78915000,7.92%
20171111,79462000,7.98%
20171112,79462000,7.98%
20171113,79462000,7.98%
20171114,79428000,7.97%
20171115,80567000,8.09%
20171116,80881000,8.12%
20171117,82861000,8.32%
20171118,86229000,8.65%
20171119,86229000,8.65%
20171120,86229000,8.65%
20171121,86024000,8.63%
20171122,86440000,8.68%
20171123,86460000,8.68%
20171124,87054000,8.74%
20171125,87256000,8.76%
