date,holding_num,holding_perc
20171018,50206000,1.05%
20171019,50134000,1.05%
20171020,50245000,1.04%
20171021,49578000,1.03%
20171023,49578000,1.03%
20171024,49678000,1.04%
20171025,49392000,1.03%
20171026,50855000,1.06%
20171027,53136000,1.11%
20171028,52975000,1.11%
20171029,52975000,1.11%
20171030,52975000,1.11%
20171031,53067000,1.11%
20171101,53130000,1.11%
20171102,53206000,1.11%
20171103,53157000,1.11%
20171104,53317000,1.11%
20171105,53317000,1.11%
20171106,53317000,1.11%
20171107,53283000,1.11%
20171108,53279000,1.11%
20171109,53284000,1.11%
20171110,48957406,1.02%
20171111,49000406,1.02%
20171112,49000406,1.02%
20171113,49000406,1.02%
20171114,49109406,1.02%
20171115,47750406,1.00%
20171116,47669406,0.99%
20171117,47657406,1.00%
20171118,47611406,1.00%
20171119,47611406,1.00%
20171120,47611406,1.00%
20171121,47603406,1.00%
20171122,47899406,1.00%
20171123,47720406,0.99%
20171124,47625406,0.99%
20171125,47768406,0.99%
