date;holding_num;holding_perc
20171018;                                69429000;                                5.50%

20171019;                                69218500;                                5.48%

20171020;                                66796500;                                5.29%

20171021;                                66801500;                                5.29%

20171023;                                66801500;                                5.29%

20171024;                                66127000;                                5.24%

20171025;                                65583000;                                5.20%

20171026;                                65712500;                                5.21%

20171027;                                65590000;                                5.20%

20171028;                                65375000;                                5.18%

20171029;                                65375000;                                5.18%

20171030;                                65375000;                                5.18%

20171031;                                65330500;                                5.18%

20171101;                                64940000;                                5.14%

20171102;                                64937500;                                5.14%

20171103;                                64156500;                                5.08%

20171104;                                64002500;                                5.07%

