date;holding_num;holding_perc
20171018;                                907315000;                                13.20%

20171019;                                911624000;                                13.26%

20171020;                                914152000;                                13.30%

20171021;                                913970000;                                13.30%

20171023;                                913970000;                                13.30%

20171024;                                924296000;                                13.44%

20171025;                                922859000;                                13.42%

20171026;                                922968000;                                13.43%

20171027;                                927647000;                                13.49%

20171028;                                933812000;                                13.58%

20171029;                                933812000;                                13.58%

20171030;                                933812000;                                13.58%

20171031;                                935304000;                                13.60%

20171101;                                938864000;                                13.66%

20171102;                                945428000;                                13.75%

20171103;                                949140000;                                13.81%

20171104;                                953149000;                                13.87%

