20171020,40398000,0.16%
20171021,40338000,0.16%
20171023,40338000,0.16%
20171024,39846000,0.15%
20171025,39078000,0.15%
20171026,39078000,0.15%
20171027,39072000,0.15%
20171028,39072000,0.15%
20171029,39072000,0.15%
20171030,39072000,0.15%
20171031,39072000,0.15%
20171101,39066000,0.15%
20171102,39066000,0.15%
20171103,39024000,0.15%
20171104,39018000,0.15%
20171105,39018000,0.15%
20171106,39018000,0.15%
20171107,39018000,0.15%
20171108,39018000,0.15%
20171109,39018000,0.15%
20171110,39018000,0.15%
20171111,39018000,0.15%
20171112,39018000,0.15%
20171113,39018000,0.15%
20171114,39018000,0.15%
20171115,39018000,0.15%
20171116,39018000,0.15%
20171117,39018000,0.15%
20171118,39018000,0.15%
20171119,39018000,0.15%
20171120,39018000,0.15%
20171121,39018000,0.15%
20171122,38886000,0.15%
20171123,38886000,0.15%
20171124,38838000,0.15%
20171125,38838000,0.15%
