date,holding_num,holding_perc
20171018,626527386,13.32%
20171019,629751386,13.39%
20171020,629643386,13.38%
20171021,634533386,13.49%
20171023,634533386,13.49%
20171024,635805386,13.52%
20171025,636859386,13.53%
20171026,638219386,13.57%
20171027,650589386,13.83%
20171028,645771386,13.72%
20171029,645771386,13.72%
20171030,645771386,13.72%
20171031,646779386,13.75%
20171101,644617386,13.70%
20171102,642413386,13.65%
20171103,629041386,13.37%
20171104,617005386,13.11%
20171105,617005386,13.11%
20171106,617005386,13.11%
20171107,607741386,12.92%
20171108,601689386,12.79%
20171109,605297386,12.87%
20171110,594273386,12.63%
20171111,607885386,12.93%
20171112,607885386,12.93%
20171113,607885386,12.93%
20171114,636909386,13.54%
20171115,642411386,13.66%
20171116,644333386,13.69%
20171117,649025386,13.80%
20171118,655411386,13.94%
20171119,655411386,13.94%
20171120,655411386,13.94%
20171121,658509386,14.00%
20171122,659181386,14.01%
20171123,660903386,14.05%
20171124,654047386,13.91%
20171125,654621386,13.92%
