date,holding_num,holding_perc
20171018,46372000,7.37%
20171019,46825000,7.44%
20171020,47357000,7.53%
20171021,46929000,7.46%
20171023,46929000,7.46%
20171024,47211000,7.50%
20171025,47370000,7.53%
20171026,47476000,7.55%
20171027,47776000,7.59%
20171028,48012000,7.63%
20171029,48012000,7.63%
20171030,48012000,7.63%
20171031,48250000,7.67%
20171101,48649000,7.73%
20171102,49151000,7.81%
20171103,49301000,7.84%
20171104,49213000,7.82%
20171105,49213000,7.82%
20171106,49213000,7.82%
20171107,49179000,7.82%
20171108,49550000,7.88%
20171109,50902000,8.09%
20171110,50717000,8.06%
20171111,51342000,8.16%
20171112,51342000,8.16%
20171113,51342000,8.16%
20171114,51757000,8.23%
20171115,52164000,8.29%
20171116,52790000,8.39%
20171117,53057000,8.43%
20171118,53746000,8.54%
20171119,53746000,8.54%
20171120,53746000,8.54%
20171121,54136000,8.61%
20171122,54284000,8.63%
20171123,55235000,8.78%
20171124,58046000,9.23%
20171125,59549000,9.47%
