date,holding_num,holding_perc
20171018,27601000,3.33%
20171019,27609000,3.33%
20171020,27682000,3.34%
20171021,27707000,3.34%
20171023,27707000,3.34%
20171024,27787000,3.35%
20171025,27847000,3.36%
20171026,27839000,3.36%
20171027,28172000,3.40%
20171028,29281000,3.53%
20171029,29281000,3.53%
20171030,29281000,3.53%
20171031,29857000,3.60%
20171101,29884000,3.61%
20171102,29852000,3.60%
20171103,29996000,3.62%
20171104,29995000,3.61%
20171105,29995000,3.61%
20171106,29995000,3.61%
20171107,30348000,3.66%
20171108,30424000,3.67%
20171109,30521000,3.68%
20171110,30562000,3.69%
20171111,30840000,3.72%
20171112,30840000,3.72%
20171113,30840000,3.72%
20171114,30946000,3.73%
20171115,30934000,3.73%
20171116,30989000,3.74%
20171117,30877000,3.72%
20171118,30752000,3.71%
20171119,30752000,3.71%
20171120,30752000,3.71%
20171121,30826000,3.72%
20171122,31553000,3.81%
20171123,31413000,3.79%
20171124,31476000,3.80%
20171125,31525000,3.81%
