date,holding_num,holding_perc
20171018,163434040,15.90%
20171019,166874040,16.23%
20171020,169780040,16.52%
20171021,172159640,16.75%
20171023,172159640,16.75%
20171024,175752840,17.10%
20171025,185822440,18.08%
20171026,196683240,19.14%
20171027,206188840,20.07%
20171028,209938840,20.43%
20171029,209938840,20.43%
20171030,209938840,20.43%
20171031,215987640,21.01%
20171101,219100840,21.32%
20171102,224674840,21.87%
20171103,224177240,21.81%
20171104,224528040,21.85%
20171105,224528040,21.85%
20171106,224528040,21.85%
20171107,224663640,21.87%
20171108,225276440,21.92%
20171109,226085640,22.00%
20171110,230004840,22.38%
20171111,237443240,23.11%
20171112,237443240,23.11%
20171113,237443240,23.11%
20171114,238667240,23.23%
20171115,238874040,23.25%
20171116,240452440,23.40%
20171117,238364040,23.20%
20171118,238585240,23.22%
20171119,238585240,23.22%
20171120,238585240,23.22%
20171121,239195640,23.28%
20171122,239166440,23.28%
20171123,240499240,23.41%
20171124,243181240,23.67%
20171125,245008840,23.85%
