date;holding_num;holding_perc
20171018;                                50404000;                                0.81%

20171019;                                50822000;                                0.82%

20171020;                                51448000;                                0.83%

20171021;                                49026000;                                0.79%

20171023;                                49026000;                                0.79%

20171024;                                50762000;                                0.82%

20171025;                                50624000;                                0.82%

20171026;                                51742000;                                0.84%

20171027;                                50640000;                                0.82%

20171028;                                51766000;                                0.84%

20171029;                                51766000;                                0.84%

20171030;                                51766000;                                0.84%

20171031;                                53316000;                                0.86%

20171101;                                55738000;                                0.90%

20171102;                                57108000;                                0.92%

20171103;                                58702000;                                0.95%

20171104;                                59732000;                                0.96%

