date;holding_num;holding_perc
20171018;                                964000;                                0.02%

20171019;                                964000;                                0.02%

20171020;                                964000;                                0.02%

20171021;                                964000;                                0.02%

20171023;                                964000;                                0.02%

20171024;                                964000;                                0.02%

20171025;                                964000;                                0.02%

20171026;                                964000;                                0.02%

20171027;                                964000;                                0.02%

20171028;                                964000;                                0.02%

20171029;                                964000;                                0.02%

20171030;                                964000;                                0.02%

20171031;                                964000;                                0.02%

20171101;                                964000;                                0.02%

20171102;                                964000;                                0.02%

20171103;                                964000;                                0.02%

20171104;                                964000;                                0.02%

