date,holding_num,holding_perc
20171018,1022880000,1.63%
20171019,1037860000,1.65%
20171020,1034800000,1.65%
20171021,1047320000,1.67%
20171023,1047320000,1.67%
20171024,1036440000,1.65%
20171025,1044220000,1.66%
20171026,1056460000,1.66%
20171027,1071740000,1.68%
20171028,1113880000,1.75%
20171029,1113880000,1.75%
20171030,1113880000,1.75%
20171031,1155460000,1.81%
20171101,1193960000,1.87%
20171102,1219160000,1.91%
20171103,1231580000,1.93%
20171104,1298020000,2.04%
20171105,1298020000,2.04%
20171106,1298020000,2.04%
20171107,1314080000,2.06%
20171108,1426880000,2.24%
20171109,1576700000,2.48%
20171110,1660500000,2.61%
20171111,1757000000,2.76%
20171112,1757000000,2.76%
20171113,1757000000,2.76%
20171114,1776960000,2.79%
20171115,1777500000,2.79%
20171116,1820660000,2.86%
20171117,2156120000,3.39%
20171118,2256360000,3.55%
20171119,2256360000,3.55%
20171120,2256360000,3.55%
20171121,2257600000,3.55%
20171122,2274940000,3.58%
20171123,2289200000,3.60%
20171124,2302460000,3.62%
20171125,2324480000,3.65%
