date,holding_num,holding_perc
20171018,175000,0.03%
20171019,175000,0.03%
20171020,175000,0.03%
20171021,175000,0.03%
20171023,175000,0.03%
20171024,175000,0.03%
20171025,175000,0.03%
20171026,175000,0.03%
20171027,175000,0.03%
20171028,175000,0.03%
20171029,175000,0.03%
20171030,175000,0.03%
20171031,175000,0.03%
20171101,175000,0.03%
20171102,175000,0.03%
20171103,175000,0.03%
20171104,175000,0.03%
20171105,175000,0.03%
20171106,175000,0.03%
20171107,175000,0.03%
20171108,175000,0.03%
20171109,175000,0.03%
20171110,175000,0.03%
20171111,175000,0.03%
20171112,175000,0.03%
20171113,175000,0.03%
20171114,175000,0.03%
20171115,175000,0.03%
20171116,175000,0.03%
20171117,175000,0.03%
20171118,175000,0.03%
20171119,175000,0.03%
20171120,175000,0.03%
20171121,175000,0.03%
20171122,175000,0.03%
20171123,175000,0.03%
20171124,174250,0.03%
20171125,174250,0.03%
