date;holding_num;holding_perc
20171018;                                139701002;                                4.41%

20171019;                                138708002;                                4.38%

20171020;                                139216502;                                4.41%

20171021;                                138758002;                                4.39%

20171023;                                138758002;                                4.39%

20171024;                                138887002;                                4.39%

20171025;                                139161002;                                4.40%

20171026;                                138750002;                                4.39%

20171027;                                138783502;                                4.39%

20171028;                                139383502;                                4.41%

20171029;                                139383502;                                4.41%

20171030;                                139383502;                                4.41%

20171031;                                139474002;                                4.41%

20171101;                                138242002;                                4.37%

20171102;                                138311002;                                4.37%

20171103;                                137690385;                                4.35%

20171104;                                137537385;                                4.35%

