date;holding_num;holding_perc
20171018;                                323639446;                                2.33%

20171019;                                310909446;                                2.23%

20171020;                                297821446;                                2.13%

20171021;                                284877446;                                2.04%

20171023;                                284877446;                                2.04%

20171024;                                272449446;                                1.96%

20171025;                                265913446;                                1.90%

20171026;                                259879446;                                1.86%

20171027;                                251765446;                                1.81%

20171028;                                249953446;                                1.79%

20171029;                                249953446;                                1.79%

20171030;                                249953446;                                1.79%

20171031;                                250649446;                                1.80%

20171101;                                250691446;                                1.80%

20171102;                                249289446;                                1.78%

20171103;                                248623446;                                1.78%

20171104;                                248825446;                                1.79%

