date;holding_num;holding_perc
20171018;                                212770000;                                23.76%

20171019;                                213992000;                                23.89%

20171020;                                213956000;                                23.89%

20171021;                                213876000;                                23.88%

20171023;                                213876000;                                23.88%

20171024;                                214094000;                                23.91%

20171025;                                213636000;                                23.85%

20171026;                                213560000;                                23.85%

20171027;                                213392000;                                23.83%

20171028;                                213300000;                                23.81%

20171029;                                213300000;                                23.81%

20171030;                                213300000;                                23.81%

20171031;                                213244000;                                23.80%

20171101;                                213330000;                                23.81%

20171102;                                213402000;                                23.83%

20171103;                                213388000;                                23.83%

20171104;                                213508000;                                23.84%

