date;holding_num;holding_perc
20171018;                                177114000;                                5.43%

20171019;                                177114000;                                5.43%

20171020;                                177114000;                                5.43%

20171021;                                176976000;                                5.42%

20171023;                                176976000;                                5.42%

20171024;                                176976000;                                5.42%

20171025;                                176946000;                                5.42%

20171026;                                176946000;                                5.42%

20171027;                                176934000;                                5.42%

20171028;                                176934000;                                5.42%

20171029;                                176934000;                                5.42%

20171030;                                176934000;                                5.42%

20171031;                                176934000;                                5.42%

20171101;                                176934000;                                5.42%

20171102;                                176932000;                                5.42%

20171103;                                176874000;                                5.42%

20171104;                                176874000;                                5.42%

