date,holding_num,holding_perc
20171018,4367534,0.10%
20171019,4405534,0.10%
20171020,4408534,0.10%
20171021,4537534,0.11%
20171023,4537534,0.11%
20171024,4564114,0.11%
20171025,4567114,0.11%
20171026,4568114,0.11%
20171027,4571114,0.11%
20171028,4570114,0.11%
20171029,4570114,0.11%
20171030,4570114,0.11%
20171031,4563114,0.11%
20171101,4564114,0.11%
20171102,4570114,0.11%
20171103,4576114,0.11%
20171104,4608114,0.11%
20171105,4608114,0.11%
20171106,4608114,0.11%
20171107,4610114,0.11%
20171108,4605114,0.11%
20171109,4606114,0.11%
20171110,4608114,0.11%
20171111,4612114,0.11%
20171112,4612114,0.11%
20171113,4612114,0.11%
20171114,4612114,0.11%
20171115,4612114,0.11%
20171116,4650114,0.11%
20171117,4636114,0.11%
20171118,4598114,0.11%
20171119,4598114,0.11%
20171120,4598114,0.11%
20171121,4599114,0.11%
20171122,4637114,0.11%
20171123,4650114,0.11%
20171124,4655114,0.11%
20171125,4633114,0.11%
