date;holding_num;holding_perc
20171018;                                416222620;                                9.51%

20171019;                                415623970;                                9.50%

20171020;                                414268070;                                9.46%

20171021;                                409956070;                                9.37%

20171023;                                409956070;                                9.37%

20171024;                                410548070;                                9.38%

20171025;                                407615870;                                9.31%

20171026;                                406668670;                                9.29%

20171027;                                409595670;                                9.36%

20171028;                                409888320;                                9.36%

20171029;                                409888320;                                9.36%

20171030;                                409888320;                                9.36%

20171031;                                413817670;                                9.45%

20171101;                                413033420;                                9.44%

20171102;                                404965120;                                9.25%

20171103;                                399911120;                                9.14%

20171104;                                398402120;                                9.11%

