date,holding_num,holding_perc
20171018,52656000,21.05%
20171019,52556000,21.01%
20171020,52856000,21.13%
20171021,52746000,21.09%
20171023,52746000,21.09%
20171024,52876000,21.14%
20171025,52960000,21.18%
20171026,53200000,21.27%
20171027,53608000,21.44%
20171028,53752000,21.49%
20171029,53752000,21.49%
20171030,53752000,21.49%
20171031,53886000,21.54%
20171101,53608000,21.43%
20171102,53648000,21.45%
20171103,53894000,21.55%
20171104,54152000,21.65%
20171105,54152000,21.65%
20171106,54152000,21.65%
20171107,54166000,21.65%
20171108,54974000,21.98%
20171109,55452000,22.17%
20171110,55880000,22.34%
20171111,55926000,22.36%
20171112,55926000,22.36%
20171113,55926000,22.36%
20171114,56404000,22.55%
20171115,56270000,22.50%
20171116,56562000,22.61%
20171117,56678000,22.67%
20171118,56708000,22.67%
20171119,56708000,22.67%
20171120,56708000,22.67%
20171121,57006000,22.79%
20171122,57172000,22.86%
20171123,57818000,23.12%
20171124,57792000,23.11%
20171125,57646000,23.05%
