date;holding_num;holding_perc
20171018;                                77911671;                                1.66%

20171019;                                79252671;                                1.68%

20171020;                                79336671;                                1.68%

20171021;                                81588671;                                1.73%

20171023;                                81588671;                                1.73%

20171024;                                75723671;                                1.61%

20171025;                                77109671;                                1.64%

20171026;                                80399671;                                1.71%

20171027;                                83244671;                                1.77%

20171028;                                84873671;                                1.81%

20171029;                                84873671;                                1.81%

20171030;                                84873671;                                1.81%

20171031;                                86064671;                                1.83%

20171101;                                85508671;                                1.82%

20171102;                                82356671;                                1.75%

20171103;                                83295671;                                1.78%

20171104;                                84956671;                                1.81%

