date,holding_num,holding_perc
20171018,10879500,1.73%
20171019,10878500,1.73%
20171020,10879500,1.73%
20171021,10799500,1.72%
20171023,10799500,1.72%
20171024,10799000,1.72%
20171025,10701500,1.70%
20171026,10703000,1.70%
20171027,10189500,1.62%
20171028,9450000,1.50%
20171029,9450000,1.50%
20171030,9450000,1.50%
20171031,9241500,1.47%
20171101,9246500,1.47%
20171102,9089500,1.44%
20171103,9017500,1.43%
20171104,8418000,1.34%
20171105,8418000,1.34%
20171106,8418000,1.34%
20171107,8285000,1.31%
20171108,8066500,1.28%
20171109,8066000,1.28%
20171110,8065500,1.28%
20171111,8031000,1.27%
20171112,8031000,1.27%
20171113,8031000,1.27%
20171114,8042000,1.27%
20171115,8012000,1.27%
20171116,8008000,1.26%
20171117,7987000,1.26%
20171118,7988000,1.26%
20171119,7988000,1.26%
20171120,7988000,1.26%
20171121,7976000,1.27%
20171122,7949500,1.26%
20171123,7948500,1.26%
20171124,7864500,1.24%
20171125,7854500,1.25%
