date,holding_num,holding_perc
20171018,56540489,1.30%
20171019,56582489,1.30%
20171020,56664489,1.30%
20171021,56771489,1.30%
20171023,56771489,1.30%
20171024,57471489,1.32%
20171025,57443489,1.32%
20171026,57183489,1.31%
20171027,54379489,1.25%
20171028,53981489,1.24%
20171029,53981489,1.24%
20171030,53981489,1.24%
20171031,53210489,1.22%
20171101,53196489,1.22%
20171102,52702489,1.21%
20171103,53033489,1.22%
20171104,51857489,1.19%
20171105,51857489,1.19%
20171106,51857489,1.19%
20171107,53244489,1.22%
20171108,53269489,1.22%
20171109,53342489,1.22%
20171110,53557489,1.23%
20171111,54735489,1.25%
20171112,54735489,1.25%
20171113,54735489,1.25%
20171114,48409489,1.11%
20171115,45054489,1.03%
20171116,43560489,1.00%
20171117,40606489,0.93%
20171118,36408489,0.83%
20171119,36408489,0.83%
20171120,36408489,0.83%
20171121,36534489,0.84%
20171122,32242489,0.73%
20171123,28890489,0.66%
20171124,28944489,0.66%
20171125,28142489,0.64%
