date,holding_num,holding_perc
20171018,145884000,2.65%
20171019,146268000,2.65%
20171020,147286000,2.67%
20171021,147230000,2.67%
20171023,147230000,2.67%
20171024,146572000,2.66%
20171025,147852000,2.68%
20171026,148698000,2.70%
20171027,148602000,2.69%
20171028,148600000,2.70%
20171029,148600000,2.70%
20171030,148600000,2.70%
20171031,149856000,2.72%
20171101,151928000,2.76%
20171102,153628000,2.78%
20171103,152036000,2.75%
20171104,152010000,2.75%
20171105,152010000,2.75%
20171106,152010000,2.75%
20171107,152718000,2.77%
20171108,153086000,2.77%
20171109,152810000,2.77%
20171110,149958000,2.72%
20171111,148742000,2.70%
20171112,148742000,2.70%
20171113,148742000,2.70%
20171114,148466000,2.69%
20171115,147800000,2.68%
20171116,145300000,2.64%
20171117,145484000,2.64%
20171118,147844000,2.68%
20171119,147844000,2.68%
20171120,147844000,2.68%
20171121,148572000,2.69%
20171122,148382000,2.69%
20171123,146860000,2.66%
20171124,147566000,2.67%
20171125,146754000,2.66%
