date,holding_num,holding_perc
20171018,20358297,2.22%
20171019,20309297,2.21%
20171020,20199797,2.20%
20171021,20152297,2.20%
20171023,20152297,2.20%
20171024,19857297,2.17%
20171025,19909797,2.17%
20171026,19363797,2.11%
20171027,18640297,2.03%
20171028,18698797,2.04%
20171029,18698797,2.04%
20171030,18698797,2.04%
20171031,18684797,2.04%
20171101,18686797,2.04%
20171102,18464797,2.01%
20171103,18550297,2.02%
20171104,18489569,2.02%
20171105,18489569,2.02%
20171106,18489569,2.02%
20171107,17744069,1.93%
20171108,17826069,1.94%
20171109,18038569,1.97%
20171110,17916069,1.95%
20171111,18090569,1.97%
20171112,18090569,1.97%
20171113,18090569,1.97%
20171114,18204069,1.98%
20171115,18178569,1.98%
20171116,18546069,2.02%
20171117,18503069,2.02%
20171118,18376569,2.00%
20171119,18376569,2.00%
20171120,18376569,2.00%
20171121,18401569,2.01%
20171122,18452069,2.01%
20171123,18660569,2.03%
20171124,19032069,2.08%
20171125,19066069,2.08%
