date;holding_num;holding_perc
20171018;                                124835000;                                0.84%

20171019;                                124864500;                                0.84%

20171020;                                125029500;                                0.85%

20171021;                                125113500;                                0.85%

20171023;                                125113500;                                0.85%

20171024;                                126601500;                                0.86%

20171025;                                126071500;                                0.85%

20171026;                                124095000;                                0.84%

20171027;                                124276500;                                0.84%

20171028;                                123109500;                                0.83%

20171029;                                123109500;                                0.83%

20171030;                                123109500;                                0.83%

20171031;                                123125000;                                0.83%

20171101;                                123321500;                                0.83%

20171102;                                122970500;                                0.83%

20171103;                                122746000;                                0.83%

20171104;                                123137000;                                0.83%

