date,holding_num,holding_perc
20171018,13225810,6.98%
20171019,13310910,7.03%
20171020,13457410,7.11%
20171021,13551490,7.15%
20171023,13551490,7.15%
20171024,13469990,7.11%
20171025,13400290,7.08%
20171026,13760890,7.27%
20171027,13835190,7.30%
20171028,13871490,7.32%
20171029,13871490,7.32%
20171030,13871490,7.32%
20171031,13756230,7.26%
20171101,14040800,7.41%
20171102,13746100,7.26%
20171103,13611770,7.19%
20171104,13579880,7.17%
20171105,13579880,7.17%
20171106,13579880,7.17%
20171107,13695670,7.23%
20171108,14019170,7.40%
20171109,14744170,7.79%
20171110,14982200,7.91%
20171111,14993150,7.92%
20171112,14993150,7.92%
20171113,14993150,7.92%
20171114,15106950,7.98%
20171115,15218350,8.04%
20171116,15334950,8.10%
20171117,15209850,8.03%
20171118,15016650,7.93%
20171119,15016650,7.93%
20171120,15016650,7.93%
20171121,15021620,7.93%
20171122,15205700,8.03%
20171123,15210700,8.03%
20171124,15351200,8.11%
20171125,15493300,8.18%
