date,holding_num,holding_perc
20171018,69429000,5.50%
20171019,69218500,5.48%
20171020,66796500,5.29%
20171021,66801500,5.29%
20171023,66801500,5.29%
20171024,66127000,5.24%
20171025,65583000,5.20%
20171026,65712500,5.21%
20171027,65590000,5.20%
20171028,65375000,5.18%
20171029,65375000,5.18%
20171030,65375000,5.18%
20171031,65330500,5.18%
20171101,64940000,5.14%
20171102,64937500,5.14%
20171103,64156500,5.08%
20171104,64002500,5.07%
20171105,64002500,5.07%
20171106,64002500,5.07%
20171107,64169500,5.08%
20171108,64519500,5.11%
20171109,64605500,5.12%
20171110,64672500,5.12%
20171111,64325000,5.10%
20171112,64325000,5.10%
20171113,64325000,5.10%
20171114,64404000,5.10%
20171115,64436000,5.10%
20171116,64695000,5.13%
20171117,64847500,5.14%
20171118,64834500,5.14%
20171119,64834500,5.14%
20171120,64834500,5.14%
20171121,64675500,5.12%
20171122,63643000,5.04%
20171123,61882500,4.90%
20171124,62104500,4.92%
20171125,62673500,4.97%
