date,holding_num,holding_perc
20171018,14253551,1.33%
20171019,14246051,1.33%
20171020,14250051,1.33%
20171021,14254551,1.33%
20171023,14254551,1.33%
20171024,14258051,1.33%
20171025,14247551,1.33%
20171026,14053551,1.30%
20171027,14001051,1.30%
20171028,14388051,1.34%
20171029,14388051,1.34%
20171030,14388051,1.34%
20171031,14458051,1.35%
20171101,14496551,1.35%
20171102,14481051,1.35%
20171103,14486551,1.35%
20171104,14443051,1.34%
20171105,14443051,1.34%
20171106,14443051,1.34%
20171107,14396051,1.34%
20171108,14421551,1.34%
20171109,14437051,1.34%
20171110,14428051,1.34%
20171111,14435551,1.34%
20171112,14435551,1.34%
20171113,14435551,1.34%
20171114,14623051,1.36%
20171115,14516051,1.35%
20171116,14486051,1.35%
20171117,14321551,1.33%
20171118,14455051,1.35%
20171119,14455051,1.35%
20171120,14455051,1.35%
20171121,14487051,1.35%
20171122,14665551,1.36%
20171123,14825051,1.38%
20171124,14776051,1.38%
20171125,14771551,1.38%
