date,holding_num,holding_perc
20171018,20663500,1.96%
20171019,20370000,1.94%
20171020,20049500,1.91%
20171021,19759500,1.88%
20171023,19759500,1.88%
20171024,20057500,1.91%
20171025,20356500,1.94%
20171026,20194500,1.92%
20171027,20750500,1.97%
20171028,20893500,1.99%
20171029,20893500,1.99%
20171030,20893500,1.99%
20171031,20751500,1.97%
20171101,19933000,1.89%
20171102,19716000,1.87%
20171103,19406000,1.84%
20171104,19242000,1.83%
20171105,19242000,1.83%
20171106,19242000,1.83%
20171107,18875500,1.79%
20171108,19681000,1.87%
20171109,19595000,1.86%
20171110,20256000,1.93%
20171111,20273000,1.93%
20171112,20273000,1.93%
20171113,20273000,1.93%
20171114,20253500,1.93%
20171115,20454000,1.94%
20171116,20426000,1.94%
20171117,20429500,1.94%
20171118,20867000,1.98%
20171119,20867000,1.98%
20171120,20867000,1.98%
20171121,20647500,1.96%
20171122,20591500,1.96%
20171123,20554500,1.95%
20171124,20800000,1.98%
20171125,20479500,1.95%
