date,holding_num,holding_perc
20171018,111000,0.01%
20171019,111000,0.01%
20171020,112000,0.01%
20171021,111000,0.01%
20171023,111000,0.01%
20171024,113000,0.01%
20171025,135000,0.01%
20171026,152000,0.02%
20171027,152000,0.02%
20171028,169000,0.02%
20171029,169000,0.02%
20171030,169000,0.02%
20171031,177000,0.02%
20171101,177000,0.02%
20171102,177000,0.02%
20171103,172000,0.02%
20171104,119000,0.01%
20171105,119000,0.01%
20171106,119000,0.01%
20171107,119000,0.01%
20171108,119000,0.01%
20171109,118000,0.01%
20171110,118000,0.01%
20171111,120000,0.01%
20171112,120000,0.01%
20171113,120000,0.01%
20171114,124000,0.01%
20171115,126000,0.01%
20171116,126000,0.01%
20171117,126000,0.01%
20171118,126000,0.01%
20171119,126000,0.01%
20171120,126000,0.01%
20171121,126000,0.01%
20171122,126000,0.01%
20171123,121000,0.01%
20171124,121000,0.01%
20171125,233000,0.03%
