date;holding_num;holding_perc
20171018;                                2602985;                                0.23%

20171019;                                2688985;                                0.24%

20171020;                                2689985;                                0.24%

20171021;                                2694985;                                0.24%

20171023;                                2694985;                                0.24%

20171024;                                2692985;                                0.24%

20171025;                                2711985;                                0.24%

20171026;                                2658985;                                0.24%

20171027;                                2676985;                                0.24%

20171028;                                2680985;                                0.24%

20171029;                                2680985;                                0.24%

20171030;                                2680985;                                0.24%

20171031;                                2573985;                                0.23%

20171101;                                2530985;                                0.22%

20171102;                                2543985;                                0.23%

20171103;                                2626985;                                0.24%

20171104;                                2532985;                                0.23%

