date;holding_num;holding_perc
20171018;                                6829000;                                0.31%

20171019;                                6830000;                                0.31%

20171020;                                6829500;                                0.31%

20171021;                                6827500;                                0.31%

20171023;                                6827500;                                0.31%

20171024;                                6826500;                                0.31%

20171025;                                6826000;                                0.31%

20171026;                                6827000;                                0.31%

20171027;                                6940000;                                0.32%

20171028;                                7095500;                                0.33%

20171029;                                7095500;                                0.33%

20171030;                                7095500;                                0.33%

20171031;                                7206500;                                0.33%

20171101;                                7207500;                                0.33%

20171102;                                7212000;                                0.33%

20171103;                                7203000;                                0.33%

20171104;                                7202500;                                0.33%

